EDICTTOOLTIP;Указы вынуждают изменить закон в обход законодательных органов и игнорируя пожелания вассалов. Что бы принять указ нужен сильный, решительный или коварный лидер, либо преобладание вашей популярности среди ваших вассалов.;;;;;;;;;;;;;x
EDICTISSUED;Издание указа считается бесчестным и тираническим действием. Мнение о вас среди вассалов будет страдать не только от выдачи указа, но и от того, был ли это тиранический поступок.;;;;;;;;;;;;;x
force_crown_levy_1;Указ: минимальные налоги;;;;;;;;;;;;;x
force_crown_levy_1_desc;Издание указа, основанного на минимализации налогов, как закона вашей области.;;;;;;;;;;;;;x
NOWEAKRULER;Чтобы издать указ, правитель НЕ должен быть: слабым, трусливым, ленивым или удовлетворенным.;;;;;;;;;;;;;x
edict_dejure;Сеньор издал указ, основываясь на де-юре правах;;;;;;;;;;;;;x
edict_nondejure;Сеньор издал указ;;;;;;;;;;;;;x
edict_timer;Издан указ;;;;;;;;;;;;;x
edict_timer_desc;Этот правитель недавно издал указ. В то время как гонцы с указом передвигаются по вашему государству и чиновники ознакомляются с указом, он не может издавать указы.;;;;;;;;;;;;;x
force_crown_levy_2;Указ: умеренные налоги;;;;;;;;;;;;;x
force_crown_levy_2_desc;Издание указа, основанного на изменении налогов до умеренного уровня, как закона вашей области.;;;;;;;;;;;;;x
force_crown_levy_3;Указ: высокие налоги;;;;;;;;;;;;;x
force_crown_levy_3_desc;Издание указа, основанного на изменении налогов до высокого уровня, как закона вашей области.;;;;;;;;;;;;;x
force_crown_levy_4;Указ: максимальные налоги;;;;;;;;;;;;;x
force_crown_levy_4_desc;Издание указа, основанного на максимализации налогов, как закона вашей области.;;;;;;;;;;;;;x
force_merit_1;Указ: лидерство меритократов;;;;;;;;;;;;;x
force_merit_1_desc;Издание указа, узаконивающего власть меритократов, как закона вашей области.;;;;;;;;;;;;;x
force_merit_0;Указ: власть аристократов;;;;;;;;;;;;;x
force_merit_0_desc;Издание указа, узаконивающего власть аристократов, как закона вашей области.;;;;;;;;;;;;;x
force_king_peace_1;Указ: отсутствие власти Короля;;;;;;;;;;;;;x
force_king_peace_1_desc;Издание указа, основанного на аннулировании власти Короля, как закона вашей области.;;;;;;;;;;;;;x
force_king_peace_2;Указ: абсолютная власть Короля;;;;;;;;;;;;;x
force_king_peace_2_desc;Издание указа, основанного на абсолютизме королевской власти, как закона вашей области.;;;;;;;;;;;;;x
force_tolerance_0;Указ: толерантное общество;;;;;;;;;;;;;x
force_tolerance_0_desc;Издание указа, основанного на построении толерантного общества, как закона вашей области.;;;;;;;;;;;;;x
force_tolerance_1;Указ: консервативное общество;;;;;;;;;;;;;x
force_tolerance_1_desc;Издание указа, основанного на построении консервативного общества, как закона вашей области.;;;;;;;;;;;;;x
force_tolerance_2;Указ: не толерантное общество;;;;;;;;;;;;;x
force_tolerance_2_desc;Издание указа, основанного на построении не толерантного общества, как закона вашей области.;;;;;;;;;;;;;x
force_revokation_1;Указ: отзыв титула;;;;;;;;;;;;;x
force_revokation_1_desc;Издание указа, основанного на отзыве титула, как закона вашей области.;;;;;;;;;;;;;x
force_revokation_2;Указ: отзыв титула у неверного;;;;;;;;;;;;;x
force_revokation_2_desc;Издание указа, основанного на отзыве титула у неверного, как закона вашей области.;;;;;;;;;;;;;x
force_slavery_0;Указ: запрет рабства;;;;;;;;;;;;;x
force_slavery_0_desc;Издание указа, основанного на запрете рабства, как закона вашей области.;;;;;;;;;;;;;x
force_slavery_1;Указ: легализация рабства;;;;;;;;;;;;;x
force_slavery_1_desc;Издание указа, основанного на легализации рабства, как закона вашей области.;;;;;;;;;;;;;x
force_inheritance_0;Указ: легализация внешнего наследования;;;;;;;;;;;;;x
force_inheritance_0_desc;Издание указа, основанного на легализации внешнего наследования, как закона вашей области.;;;;;;;;;;;;;x
force_inheritance_1;Указ: запрет внешнего наследования;;;;;;;;;;;;;x
force_inheritance_1_desc;Издание указа, основанного на запрете внешнего наследования, как закона вашей области.;;;;;;;;;;;;;x
open_edicts;Открыть Указы;;;;;;;;;;;;;x
open_edicts_desc;Отображение доступных указов.;;;;;;;;;;;;;x
close_edicts;Закрыть Указы;;;;;;;;;;;;;x
close_edicts_desc;Закрыть отображение указов.;;;;;;;;;;;;;x
