#CODE;RUSSIAN;x
EVT_TITLE_HFP_16001;[Root.GetRussiaFullName];x
EVTDESC_HFP_16001;После долгих лет неумолимой борьбы за расширение границ нашей страны пришло время официально провозгласить [Root.GetRussiaFullNameACC]. Это поистине великий день!;x
EVTOPTA_HFP_16001;Да здравствует [Root.GetTitle] [Root.GetFirstName]!;x
EVT_TITLE_HFP_16002;Новая [Root.GetRussiaName];x
EVTDESC_HFP_16002;После долгих лет приготовлений, [From.GetBestName] решил[From.GetEndA] провозгласить полный суверенитет над своими территориями, объявив о создании [From.GetRussiaFullNameGEN].;x
EVTOPTA_HFP_16002;В этом явно не было необходимости.;x
create_russian_empire;Основать [Root.GetRussiaFullNameACC];x
create_russian_empire_desc;Править землями Руси не достаточно - некоторые говорят, что [Root.GetRussiaFullName] больше соответствует нашим интересам.;x
e_russian_empire;Русь;x
e_russian_empire_adj;Рус;x
russian_empire_cheaper_tribal_upgrades;Снижает требования по превращению племенных поселений в замки;x
EVTDESC_HFP_16006_book;— М[Root.GetOyaOy] [Root.GetLordLady], я кое-что нашёл в Вашей [inherited_artifact.GetArtifactStoragePREP], — сказал мне писец, едва скрывая свою воодушевлённость.\n— Старую книгу, полагаю... Видимо, [previous_owner.GetMyRootDeadRelationOrNone][previous_owner.GetTitledFirstName] хранил[previous_owner.GetEndA] её там.\n— Вы совершенно правы, [Root.PrimaryTitle.GetFOA]. Думаю, Вам стоит взглянуть на неё, она выглядит потрёпанной. — Он проводил меня в [inherited_artifact.GetArtifactStorageACC], чтобы я мог[Root.GetNoneE] лично убедиться в этом.\n— Настоятельно рекомендую найти кого-нибудь, чтобы восстановить этот... ценный экземпляр, — сказал он, посмотрев на меня с надеждой.;x
EVTDESC_HFP_16006_combat_weapon;Осматривая [inherited_artifact.GetArtifactStorageACC], капитан моей стражи кое-что нашёл - [inherited_artifact.GetName].\n"Вне сомнений, [previous_owner.GetYourRootDeadRelationOrNone][previous_owner.GetTitledFirstName] владел[previous_owner.GetEndA] этим оружием, [Root.PrimaryTitle.GetFOA], — сообщил он мне, и сразу добавил, — Его состояние оставляет желать лучшего. Прикажете отдать на починку, [Root.GetLordLady]?";x
EVTDESC_HFP_16006_armor;Почти всё утро я провел[Root.GetEndA] в [inherited_artifact.GetArtifactStoragePREP], разглядывая набор брони.\n"[inherited_artifact.GetName]... Не просто снаряжение, работа мастера, [Root.PrimaryTitle.GetFOA]", — заявил квартирмейстер, явно восхищаясь моим интересом.\nОн выдержал минутную паузу, а затем продолжил: "Когда [previous_owner.GetYourRootDeadRelationOrNone][previous_owner.GetTitledFirstName] владел[previous_owner.GetEndA] ими, их ещё можно было носить, но боюсь, сейчас они не в лучшем состоянии. Им нужен ремонт".;x
EVTDESC_HFP_16006_quality_1;Сегодня мне стало известно, что [previous_owner.GetMyRootDeadRelationOrNone][previous_owner.GetTitledFirstName] оставил[previous_owner.GetEndA] после себя предмет, который может представлять ценность. Оказалось, это [inherited_artifact.GetName].\n— Прошу прощения, что потревожил Вас по такому поводу, [Root.GetLordLady], но у нас нет чётких указаний, что делать со старыми повреждёнными вещами из сокровищницы. Мы можем отдать его на реставрацию, — сказал мне капитан стражи.;x
EVTDESC_HFP_16006_quality_2;Сегодня капитан стражи сообщил мне, что [previous_owner.GetMyRootDeadRelationOrNone][previous_owner.GetTitledFirstName] оставил[previous_owner.GetEndA] после себя ценный предмет, который нуждается в реставрации - [inherited_artifact.GetName]. Прикажете, передать на восстановление, [Root.GetYoungOrMy] [Root.GetLordLady]?;x
EVTDESC_HFP_16006_quality_3;В моей [inherited_artifact.GetArtifactStoragePREP] сейчас хранится весьма ценный предмет, нуждающийся в реставрации, которым раньше владел[previous_owner.GetEndA] [previous_owner.GetMyRootDeadRelationOrNone][previous_owner.GetTitledFirstName] - [inherited_artifact.GetName]. Прикажете, передать на восстановление, [Root.GetYoungOrMy] [Root.GetLordLady]?;x
EVTDESC_HFP_16006_child;"Что это такое?" — спросил[Root.GetEndA] я стражника.\n"[inherited_artifact.GetName], [Root.GetYoungOrMy] [Root.GetLordLady], — ответил он. — [previous_owner.GetYourRootDeadRelationOrNone][previous_owner.GetTitledFirstName] владел[previous_owner.GetEndA] этим предметом. Если [Root.PrimaryTitle.GetFOA] пожелает, мы сохраним его, но нам потребуются деньги на восстановление.";x
EVTOPTA_HFP_16006_1_A;Хорошо. Займитесь этим.;x
EVTOPTA_HFP_16006_1_B;Конечно, я заплачу.;x
EVTOPTA_HFP_16006_2_A;Соглас[Root.GetNaEn], займитесь этим.;x
EVTOPTA_HFP_16006_2_B;Да. Проследите, чтобы всё починили.;x
EVTOPTA_HFP_16006_3;Мы можем терять такие ценные веши. Деньги не проблема.;x
EVTOPTA_HFP_16006_4;Не вопрос. Я отдам любые деньги за столь ценную вещь!;x
EVTOPTB_HFP_16006_1;Честно говоря, эта штука бесполезна для меня.;x
EVTOPTB_HFP_16006_2;Мы не можем позволить себе такие траты.;x
title_HFP_16006;Cтарые вещи;x
String_armory;оружейная;x
String_old_armory;старая оружейная;x
String_library;библиотека;x
String_treasury;сокровищница;x
String_house_of_worship;часовня;x
GetRelation_enemy;военн[This.GetAyaYy] противни[This.GetTsaK];x
GetRelation_sway_target;потенциальн[This.GetAyaYy] собеседни[This.GetTsaK];x
GetRelation_antagonist;оппонент[This.GetEndKa];x











