assassination_decision;Убить;;;;;;;;;;;;;x
assassination_decision_desc;[Root.GetBestName] угроза для моих амбиций. Настало время для решительных действий. [Root.GetHerHim] перестанет мешать мне!;;;;;;;;;;;;;x
hire_morag_tong;Нанять Мораг Тонг;;;;;;;;;;;;;x
hire_morag_tong_desc;[PlotTarget.GetBestName] представляет угрозу вашим амбициям. Когда то Мораг Тонг свергло Империю Реманов. Может, они способны на… менее величественные поступки?;;;;;;;;;;;;;x
assassination.desc.1;Я могу избавится от [PlotTarget.GetBestName] множеством различных способов. Что же мне выбрать?;;;;;;;;;;;;;x
assassination.1.opta;Я найму [murder_guild.GetName].;;;;;;;;;;;;;x
ASSASSINATION_COST_GUILD_CT;Это будет стоить мне §Y[local_assassination_price.GetValue]§! золота.;;;;;;;;;;;;;x
assassination.1.opta2;Я из сообщества [murder_guild.GetName]. Я сделаю это сам(а)!;;;;;;;;;;;;;x
ASSASSINATION_COST_YOURSELF_CT;Это будет стоить мне §Y[local_assassination_price_self.GetValue]§! золота.;;;;;;;;;;;;;x
assassination.1.optOther;Несколько мускулистых парней решат этот вопрос.;;;;;;;;;;;;;x
ASSASSINATION_COST_GOONS_CT;Это будет стоить мне §Y[local_assassination_price_goons.GetValue]§! золота.;;;;;;;;;;;;;x
assassination.1.wrap;(больше вариантов);;;;;;;;;;;;;x
assassination.2.decline;Я передумал.;;;;;;;;;;;;;x
assassination.30.descDB;Все готово - кукла, ноготь жертвы, немного паслена и кинжал… сжатый в моей руке. ;;;;;;;;;;;;;x
assassination.30.descOther;Встреча с представителем сообщества [murder_guild.GetName] подходит к концу. В моих руках мешочек с золотом, и, чтобы покончить с моей целью раз и навсегда, мне стоит лишь дать согласие.;;;;;;;;;;;;;x
assassination.aDB.30;Милосердная Матушка, пошли мне свое дитя, ибо грехи недостойных должны быть омыты в крови и страхе…;;;;;;;;;;;;;x
assassination.aOther.30;Вы заключили сделку!;;;;;;;;;;;;;x
assassination.b.30;Может быть, стоит остановиться?;;;;;;;;;;;;;x
assassination.desc.33;Тёмное Братство сообщило мне, что их убийца был обнаружен и сбежал, дабы его не поймали.;;;;;;;;;;;;;x
assassination.a.33;Мне стоит попробовать еще раз. ;;;;;;;;;;;;;x
assassination.desc.34;Тёмное Братство сообщило мне, что их убийца был обнаружен и схвачен, теперь все знают о моем участии в заговоре!;;;;;;;;;;;;;x
assassination.a.34;И за это я заплатил деньги?!;;;;;;;;;;;;;x
assassination.desc.35;Когда я был один, я увидел темный силуэт в капюшоне и с кинжалом в руке! Я позвал на помощь, но убийца успел исчезнуть, прежде чем прибежала стража. ;;;;;;;;;;;;;x
assassination.a.35;Ещё бы чуть-чуть и…;;;;;;;;;;;;;x
assassination.desc.36;Когда я был один, я увидел темный силуэт в капюшоне и с кинжалом в руках! Я окликнул своих охранников, что стояли за углом, и они быстро поймали и допросили его. Стража сообщила, что [From.GetBestName] нанял для меня убийцу! ;;;;;;;;;;;;;x
assassination.a.36;[From.GetFirstName] заплатит за всё!;;;;;;;;;;;;;x
assassination.desc.41;Тёмное Братство доложило об успешном убийстве [From.GetBestName].;;;;;;;;;;;;;x
assassination.a.41;Отлично.;;;;;;;;;;;;;x
assassination.desc.42;Тёмное Братство доложило об успешном убийстве [From.GetBestName]. Однако в процессе их агент был схвачен и раскрыл мою личность.;;;;;;;;;;;;;x
assassination.a.42;Бестолочь!;;;;;;;;;;;;;x
assassination.desc.43;Тёмное Братство сообщило, что моя цель пережила нападение, но все же была ранена. ;;;;;;;;;;;;;x
assassination.a.43;Лучше, чем ничего.;;;;;;;;;;;;;x
assassination.desc.44;Тёмное Братство сообщило, что моя цель пережила их нападение и была ранена, но все же узнала о моих целях. ;;;;;;;;;;;;;x
assassination.a.44;Никчемные слабаки!;;;;;;;;;;;;;x
assassination.desc.45;Тёмное Братство сообщило, что их агенты погибли во время выполнения моего контракта!;;;;;;;;;;;;;x
assassination.a.45;Пустая трата моих денег!;;;;;;;;;;;;;x
assassination.desc.46;Тёмное Братство сообщило, что их убийца провалил задание и был пойман, и теперь мое участие в покушении раскрыто! ;;;;;;;;;;;;;x
assassination.a.46;К чему беспокоиться?..;;;;;;;;;;;;;x
assassination.desc.50;Я лежу на земле, в луже собственной крови, окружённый стражей, пришедшей ко мне на помощь. Вдалеке я вижу убегающую чёрную фигуру. Я пытаюсь кричать , но силы так быстро покидают меня... ;;;;;;;;;;;;;x
assassination.a.50;Так холодно. ;;;;;;;;;;;;;x
assassination.desc.51;Удар был неожиданным. Я успел схватить убийцу за руку, пока он не сбежал, хотя яд с ножа уже начал действовать. Все надежды потеряны, но в последнюю минуту моя стража заставила убийцу назвать имя его заказчика. Весь мой двор и я теперь знаем, что за организацией моей смерти стоит [From.GetBestName]!;;;;;;;;;;;;;x
assassination.a.51;Тысяча проклятий на твою голову, [From.GetFirstName]!;;;;;;;;;;;;;x
assassination.desc.52;Убийца ранил меня и сбежал, оставив лежать в луже собственной крови. К сожалению, стража не смогла схватить его. Я не знаю, кто хочет моей смерти, но пока я в безопаности. ;;;;;;;;;;;;;x
assassination.a.52;Я найду его!;;;;;;;;;;;;;x
assassination.desc.53;Убийца ранил меня, но все же мне удалось победить его. Моя стража скрутила злодея и помогла мне подняться. После некоторых "убедительных" слов я узнал, кто нанял убийцу. Это [From.GetFirstName].;;;;;;;;;;;;;x
assassination.a.53;[From.GetFirstName] ответит за это…;;;;;;;;;;;;;x
assassination.desc.54;Убийца был быстр, но не быстрее меня. Из боя я вышел победителем и невредимым, хотя так и не узнал, кто и зачем хочет моей смерти. ;;;;;;;;;;;;;x
assassination.a.54;И это вы называете "убийством"?!;;;;;;;;;;;;;x
assassination.desc.55;Минуту назад убийца прыгнул на меня с кинжалом в руках. А сейчас я держу тот же самый кинжал у горла убийцы и требую назвать имя заказчика. Убийца взвизгивает в ужасе и выворачивается наизнанку, опасаясь, что я ударю. Это [From.GetBestName]!;;;;;;;;;;;;;x
assassination.a.55;[From.GetFirstName] заплатит за всё!;;;;;;;;;;;;;x
assassination.b.60;Должен быть способ справиться с этим получше.;;;;;;;;;;;;;x
assassination.desc.63;Мораг Тонг сообщили мне, что их убийца был обнаружен и сбежал, дабы его не поймали.;;;;;;;;;;;;;x
assassination.a.63;Мне стоит попробовать еще раз. ;;;;;;;;;;;;;x
assassination.desc.64;Мораг Тонг сообщили мне, что их убийца был обнаружен и схвачен. Теперь все знают о моём участии в заговоре!;;;;;;;;;;;;;x
assassination.a.64;И за это я заплатил деньги?!;;;;;;;;;;;;;x
assassination.desc.65;Когда я был один, я увидел темный силуэт в хитиновых доспехах и с кинжалом в руке! Я позвал на помощь, но убийца успел исчезнуть, прежде чем прибежала стража. ;;;;;;;;;;;;;x
assassination.a.65;Ещё бы чуть-чуть и…;;;;;;;;;;;;;x
assassination.desc.66;Когда я был один, я увидел темный силуэт в хитиновых доспехах и с кинжалом в руках! Я окликнул своих охранников, что стояли за углом, и они быстро поймали и допросили его. Стража сообщила, что [From.GetBestName] нанял этого ублюдка! ;;;;;;;;;;;;;x
assassination.a.66;[From.GetFirstName] заплатит за всё!;;;;;;;;;;;;;x
assassination.desc.71;Мораг Тонг доложили об успешном убийстве [From.GetBestName].;;;;;;;;;;;;;x
assassination.a.71;Великолепно.;;;;;;;;;;;;;x
assassination.desc.72;Мораг Тонг доложили об успешном убийстве [From.GetBestName]. Однако в процессе их агент был схвачен и раскрыл мою личность.;;;;;;;;;;;;;x
assassination.a.72;Бестолочь!;;;;;;;;;;;;;x
assassination.desc.73;Мораг Тонг сообщили, что цель моего контракта пережила нападение, но все же была ранена. ;;;;;;;;;;;;;x
assassination.a.73;Лучше, чем ничего.;;;;;;;;;;;;;x
assassination.desc.74;Мораг Тонг сообщили, что моя цель была ранена, но все же узнала о моем участии в заговоре.;;;;;;;;;;;;;x
assassination.a.74;Никчемные слабаки!;;;;;;;;;;;;;x
assassination.desc.75;Мораг Тонг сообщили, что их агенты погибли во время выполнения моего контракта!;;;;;;;;;;;;;x
assassination.a.75;Пустая трата  денег!;;;;;;;;;;;;;x
assassination.desc.76;Мораг Тонг сообщили, что их убийца провалил задание и был пойман, и теперь мое участие в покушении раскрыто!  ;;;;;;;;;;;;;x
assassination.a.76;Повод для беспокойства…;;;;;;;;;;;;;x
assassination.desc.80;Я лежу на земле, в луже собственной крови, окружённый стражей, пришедшей ко мне на помощь. Вдалеке я вижу убегающую чёрную фигуру в хитиновых доспехах. Я пытаюсь кричать, но силы так быстро покидают меня... ;;;;;;;;;;;;;x
assassination.a.80;Так холодно. ;;;;;;;;;;;;;x
assassination.desc.81;Удар был неожиданным. Я успел схватить убийцу за руку, пока он не сбежал, хотя яд с ножа уже начал действовать. Все надежды потеряны, но в последнюю минуту моя стража заставила убийцу назвать имя  заказчика. Весь мой двор и я теперь знаем, что за организацией моей смерти стоит [From.GetBestName]!;;;;;;;;;;;;;x
assassination.a.81;Тысячи проклятий на твою голову, [From.GetFirstName]!;;;;;;;;;;;;;x
assassination.desc.82;Убийца ранил меня и сбежал, оставив лежать в луже собственной крови. К сожалению, стража не смогла схватить его. Я не знаю, кто хочет моей смерти, но пока я в безопаности. ;;;;;;;;;;;;;x
assassination.a.82;Я найду его!;;;;;;;;;;;;;x
assassination.desc.83;Убийца ранил меня, но все же мне удалось победить его. Моя стража скрутила злодея и помогла мне подняться. После некоторых "убедительных" слов я узнал, кто нанял убийцу. Это [From.GetFirstName].;;;;;;;;;;;;;x
assassination.a.83;[From.GetFirstName] ответит за это…;;;;;;;;;;;;;x
assassination.desc.84;Убийца был быстр, но не быстрее меня. Из боя я вышел победителем и невредимым, хотя так и не узнал, кто и зачем хочет моей смерти. ;;;;;;;;;;;;;x
assassination.a.84;И это вы называете "убийством"?!;;;;;;;;;;;;;x
assassination.desc.85;Минуту назад убийца прыгнул на меня с кинжалом в руках. А сейчас я держу тот же самый кинжал у горла убийцы и требую назвать имя заказчика. Убийца взвизгивает в ужасе и выворачивается наизнанку, опасаясь, что я ударю. Это [From.GetBestName]!;;;;;;;;;;;;;x
assassination.a.85;[From.GetFirstName] заплатит за всё!;;;;;;;;;;;;;x
assassination.desc.90;В тускло освещенном сарае, за захудалой городской таверной, я встретил группу головорезов. Они утверждают, что смогут решить все мои проблемы! За определённую плату.;;;;;;;;;;;;;x
assassination.a.90;Давайте попробуем!;;;;;;;;;;;;;x
assassination.b.90;Лучше окончить встречу.;;;;;;;;;;;;;x
assassination.desc.93;Гонец сообщил мне, что посланные мной головорезы были убиты. К счастью, о моём участии в заговоре никто не узнал.;;;;;;;;;;;;;x
assassination.a.93;Жаль.;;;;;;;;;;;;;x
assassination.desc.94;Гонец сообщил мне, что посланные мной головорезы были задержаны. Моё участие в заговоре раскрыто!;;;;;;;;;;;;;x
assassination.a.94;Какая пустая трата моего времени!;;;;;;;;;;;;;x
assassination.desc.95;Банда вооруженых бродяг пыталась проникнуть в мой двор! Я позвал стражу и всех мерзавцев быстро перебили. Только вот почему они пришли именно ко мне? ;;;;;;;;;;;;;x
assassination.a.95;Скатертью дорога!;;;;;;;;;;;;;x
assassination.desc.96;Моя стража поймала группу вооруженых бродяг, что пытались проникнуть на мой двор. После краткого допроса они сказали, что [From.GetBestName] послал их убить меня!;;;;;;;;;;;;;x
assassination.a.96;Как низко, [From.GetSheHe]!;;;;;;;;;;;;;x
assassination.desc.101;Наемные бандиты сообщили об успешном убийстве!;;;;;;;;;;;;;x
assassination.a.101;Отлично.;;;;;;;;;;;;;x
