disgraceful_altmer;Опозоренный;;;;;;;;;;;;;x
altmer_become_pure;Совершить паломничество Очищения;;;;;;;;;;;;;x
altmer_become_pure_desc;Отправьтесь на выходные в Алинор, дабы лучше узнать или вспомнить альтмерскую культуру и обычаи. После этого, совет уважаемых Сапиархов оценит ваши альтмерские качества с помощью Пяти Испытаний, по одному для каждого из ваших атрибутов. Если вы успешно пройдёте их, то будете признаны Чистым Альтмером!;;;;;;;;;;;;;x
Altmer1;Как мерзко. Этот отвратительный ублюдок [target_impure_courtier.GetFirstName] очерняет всех [target_impure_courtier.GetHerHis] товарищей-альтмеров! Возможно, публичное высмеивание покажет [target_impure_courtier.GetHerHim] кто на самом деле является лучшим!;;;;;;;;;;;;;x
Altmer1Accept;Расскажите всему моему двору, какой позор представляет из себя [target_impure_courtier.GetFirstName]!;;;;;;;;;;;;;x
Altmer1Decline;Я не вижу необходимости так поступать.;;;;;;;;;;;;;x
Altmer2;Как мерзко. Этот отвратительный ублюдок [target_impure_courtier.GetFirstName] очерняет всех [target_impure_courtier.GetHerHis] товарищей-альтмеров! Возможно, публичное высмеивание покажет [target_impure_courtier.GetHerHim] кто на самом деле является лучшим!;;;;;;;;;;;;;x
Altmer2Accept;Расскажите всему моему двору, какой позор представляет из себя [target_impure_vassal.GetFirstName]!;;;;;;;;;;;;;x
Altmer2Decline;Я не вижу необходимости так поступать.;;;;;;;;;;;;;x
Altmer5;[From.GetBestName] справедливо обругал(а) меня перед десятками местных альтмеров! Я хотел(а) бы защищаться, но я знаю правду. Я нечестив(а), и этому нет оправдания.;;;;;;;;;;;;;x
Altmer5Acknowledge;Ох, унижение!;;;;;;;;;;;;;x
Altmer10;Я провожу много времени с моим замечательным другом [target_impure_friend.GetFirstName], но я слышу ропот, о том, что наша близкая дружба является пятном на моей чистокровности. Мои поданные ожидают, что я попытаюсь как-то исправить эту ситуацию.;;;;;;;;;;;;;x
Altmer10Accept;Прекратить мою дружбу с [target_impure_friend.GetFirstName].;;;;;;;;;;;;;x
Altmer10Decline;[target_impure_friend.GetFirstName] мой друг и точка!;;;;;;;;;;;;;x
Altmer10Purify;Поддерживать мою чистоту с помощью Ритуала Очищения.;;;;;;;;;;;;;x
Altmer15;[From.GetFirstName] сообщил(а), что из-за моей нечистоты, мы больше не можем быть друзьями, иначе это поколеблет чистоту [From.GetHerHis].;;;;;;;;;;;;;x
Altmer15Acknowledge;Зачем, [From.GetFirstName]?;;;;;;;;;;;;;x
Altmer20;Я провожу много времени с моей любовью [target_impure_lover.GetFirstName], но я слышу ропот, о том, что наши отношения является пятном на моей чистокровности. Мои поданные ожидают, что я попытаюсь как-то исправить эту ситуацию.;;;;;;;;;;;;;x
Altmer20Accept;Разорвать мои отношения с [target_impure_lover.GetFirstName].;;;;;;;;;;;;;x
Altmer20Decline;[target_impure_lover.GetFirstName] это любовь всей моей жизни!;;;;;;;;;;;;;x
Altmer20Purify;Поддерживать мою чистоту с помощью Ритуала Очищения.;;;;;;;;;;;;;x
Altmer25;[From.GetFirstName] сообщил(а), что из-за моей нечистоты, мы больше не можем быть любовниками, иначе это поколеблет чистоту [From.GetHerHis].;;;;;;;;;;;;;x
Altmer25Acknowledge;И это после всего, что мы пережили, [From.GetFirstName]?;;;;;;;;;;;;;x
Altmer50;Я был(а) вдали от Алинора в течение длительного времени. Недавно мои придворные стали говорить, что мой внешний вид, речь, манеры и даже мой запах, похоже не такие, какие должны быть у истинного, высокородного альтмера, и что мне больше нравятся непритязательные обычаи людей и зверолюдей. Быть может, проведение праздника Возвращения Домой принесёт мне пользу?;;;;;;;;;;;;;x
Altmer50Accept;Я отправлюсь в Алинор, на родину моих предков!;;;;;;;;;;;;;x
Altmer50Decline;Нет ничего плохого, в том, какой я!;;;;;;;;;;;;;x
Altmer51;Склоны зеленых холмов, обилие фруктовых садов, и впечатляющие башни произвели прекрасное впечатление. Я ознакомился с каллиграфией и скульптурой, принимал(а) ванны в горячих источниках, ел(а) вкусную еду Альтмерской Кухни, и ходил(а) на экскурсии по древним храмам и дворцам. Возвращаясь домой, я чувствую себя истинным альтмером, и придворные сообщают, что моя Чистота вдохновляет всех!;;;;;;;;;;;;;x
Altmer51Acknowledge;Это было стоящее путешествие!;;;;;;;;;;;;;x
Altmer74;Я забронировал(а) для отдыха гостиницу в сельской местности Алинора, так что могу хорошенько ознакомиться с образом жизни моих собратьев-альтмеров, и доказать, что являюсь совершенно чистым альтмером!;;;;;;;;;;;;;x
Altmer74Acknowledge;Я не могу ждать!;;;;;;;;;;;;;x
Altmer75;Склоны зеленых холмов, обилие фруктовых садов, и впечатляющие башни произвели прекрасное впечатление. Я ознакомился с каллиграфией и скульптурой, принимал(а) ванны в горячих источниках, ел(а) вкусную еду Альтмерской Кухни, и ходил(а) на экскурсии по древним храмам и дворцам. Но мой путь ещё не завершен. Теперь мне необходимо доказать свою чистоту и понимание Альтмерской культуры перед Советом Сапиархов, состоящим из наиболее мудрых мужчин и женщин моего народа.;;;;;;;;;;;;;x
Altmer75Acknowledge;Я готов(а).;;;;;;;;;;;;;x
Altmer76;Я посещаю академию, где находятся Сапиархи, захожу в круглый зал и сажусь на стул, окруженный двумя десятками пюпитров. Все трибуны заняты альтмерами с холодными, как будто каменными, лицами. Каждый из альтмеров стоит совершенно неподвижно, но их суровые взгляды следуют за мной, когда я иду по комнате и занимаю своё место. В течение нескольких минут они хранили молчание, затем тот, кто стоял прямо передо мной заговорил. "[Root.GetBestName], ваш экзамен начинается. Совет начнёт с вопросов, касающихся языка и этикета".;;;;;;;;;;;;;x
Altmer76Acknowledge;Испытание началось...;;;;;;;;;;;;;x
Altmer76Title;Испытание Чистоты;;;;;;;;;;;;;x
Altmer77;Сапиархи задают мне вопросы, касающиеся грамматики и чтения, отношения к вышестоящим и нижестоящим чинам, затем спросили, как правильно сидеть, как обедать, как воспитывать детей, как надлежащим образом чтить своих предков - живых и умерших, и много других вопросов. Они спокойно ждали моего ответа на каждый из них, и только после этого другой Сапиарх задавал следующий вопрос. Я часто спотыкался в своих ответах, и от некоторые из них вызывали изумление. В конце концов, Сапиархи завершили свои вопросы и замолчали. Альтмер, стоящий на возвышенности, рядом с пюпитром, сказал: "Первая часть экзамена завершилась. Совет продолжит его вопросами, относящимися к военной истории, стратегии и тактике".;;;;;;;;;;;;;x
Altmer77Acknowledge;Испытание продолжается...;;;;;;;;;;;;;x
Altmer77Title;Испытание Чистоты;;;;;;;;;;;;;x
Altmer78;Сапиархи задают мне вопросы, касающиеся грамматики и чтения, отношения к вышестоящим и нижестоящим чинам, затем спросили, как правильно сидеть, как обедать, как воспитывать детей, как надлежащим образом чтить своих предков - живых и умерших, и много других вопросов. Они спокойно ждали моего ответа на каждый из них, и только после этого другой Сапиарх задавал следующий вопрос. Я уверенно отвечал(а), и некоторые из Сапиархов, даже слегка кивали. В конце концов, Сапиархи завершили свои вопросы и замолчали. Альтмер, стоящий на возвышенности, рядом с пюпитром, сказал: "Первая часть экзамена завершилась. Совет продолжит его вопросами, относящимися к военной истории, стратегии и тактике.";;;;;;;;;;;;;x
Altmer78Acknowledge;Испытание продолжается...;;;;;;;;;;;;;x
Altmer78Title;Испытание Чистоты;;;;;;;;;;;;;x
Altmer79;Сапиархи один за другим проверяют мои знания в различных военных вопросах, таких как причины победы Флота Всех Флагов над слоадами при Трасе, многочисленные альтмерские победы над маормерскими захватчиками, вопросы оптимального управления армией, а также правильной организации и тактики наступательных и оборонительных боев. Когда я нерешительно отвечал(а) на вопросы, некоторые альтмеры в аудитории хмурили брови. В конце концов, Сапиархи завершили свои вопросы и замолчали. Альтмер, стоящий на возвышенности, рядом с пюпитром, сказал: "Вторая часть экзамена завершилась. Совет продолжит его вопросами, касающимися правовой и административной сферы".;;;;;;;;;;;;;x
Altmer79Acknowledge;Испытание продолжается...;;;;;;;;;;;;;x
Altmer79Title;Испытание Чистоты;;;;;;;;;;;;;x
Altmer80;Сапиархи один за другим проверяют мои знания в различных военных вопросах, таких как причины победы Флота Всех Флагов над слоадами при Трасе, многочисленные альтмерские победы над маормерскими захватчиками, вопросы оптимального управления армией, а также правильной организации и тактики наступательных и оборонительных боев. Когда я отвечал(а) на вопросы, некоторые альтмеры слегка кивали головой. В конце концов, Сапиархи завершили свои вопросы и замолчали. Альтмер, стоящий на возвышенности, рядом с пюпитром, сказал: "Вторая часть экзамена завершилась. Совет продолжит его вопросами, касающимися правовой и административной сферы".;;;;;;;;;;;;;x
Altmer80Acknowledge;Испытание продолжается...;;;;;;;;;;;;;x
Altmer80Title;Испытание Чистоты;;;;;;;;;;;;;x
Altmer81;Сапиархи задавали вопросы по законодательству и управлению, включая такие аспекты, как: обязанности дворян, налогообложение, строительные нормы и правила, гражданские споры, уголовное право, сельскохозяйственное производство, зарплаты, договоры, торговые соглашения и управление ресурсами. Некоторые вопросы были для меня довольно затруднительными, я замечал(а) насмешки и поднятые брови. Завершив свои вопросы Сапиархи на некоторое время замолчали. Затем, заговорил Сапиарх, стоящий прямо передо мной: "Третья часть экзамена завершена. Совет продолжит задавать вопросы, относящиеся к политическим интригам и эзотерической риторике".;;;;;;;;;;;;;x
Altmer81Acknowledge;Испытание продолжается...;;;;;;;;;;;;;x
Altmer81Title;Испытание Чистоты;;;;;;;;;;;;;x
Altmer82;Сапиархи задавали вопросы по законодательству и управлению, включая такие аспекты, как: обязанности дворян, налогообложение, строительные нормы и правила, гражданские споры, уголовное право, сельскохозяйственное производство, зарплаты, договоры, торговые соглашения и управление ресурсами. Вопросы не кажутся мне особо сложными, я заметил(а) как несколько альтмеров кивают, услышав мои ответы. Завершив свои вопросы Сапиархи на некоторое время замолчали. Затем, заговорил Сапиарх, стоящий прямо передо мной: "Третья часть экзамена завершена. Совет продолжит задавать вопросы, относящиеся к политическим интригам и эзотерической риторике".;;;;;;;;;;;;;x
Altmer82Acknowledge;Испытание продолжается...;;;;;;;;;;;;;x
Altmer82Title;Испытание Чистоты;;;;;;;;;;;;;x
Altmer83;Каждый из Сапиархов заваливает меня вопросами о том, как обнаружить заговор, выявить подозрительных субъектов, о языке шепота и сплетен, о том, как защититься от шпионажа и сохранить свою жизнь при нападении неизвестных супостатов. Многие из этих вопросов сбивали меня с толку, но у меня было достаточно понимания, чтобы выявить легкие насмешки в голосах нескольких Сапиархов. В конце концов, они закончили спрашивать меня и на некоторое время замолчали. Затем, заговорил Сапиарх, стоящий прямо передо мной: "Четвертая часть экзамена завершилась. Совет продолжит его вопросами, относящиеся к философии и магии".;;;;;;;;;;;;;x
Altmer83Acknowledge;Испытание продолжается...;;;;;;;;;;;;;x
Altmer83Title;Испытание Чистоты;;;;;;;;;;;;;x
Altmer84;Каждый из Сапиархов заваливает меня вопросами о том, как обнаружить заговор, выявить подозрительных субъектов, о языке шепота и сплетен, о том, как защититься от шпионажа и сохранить свою жизнь при нападении неизвестных супостатов. Многие из этих вопросов сбивали меня с толку, но у меня было достаточно понимания, чтобы выявить одобрительный тон в голосах нескольких Сапиархов. В конце концов, они закончили спрашивать меня и на некоторое время замолчали. Затем, заговорил Сапиарх, стоящий прямо передо мной: "Четвертая часть экзамена завершилась. Совет продолжит его вопросами, относящиеся к философии и магии".;;;;;;;;;;;;;x
Altmer84Acknowledge;Испытание продолжается...;;;;;;;;;;;;;x
Altmer84Title;Испытание Чистоты;;;;;;;;;;;;;x
Altmer85;Сапиархи спрашивали о философских концепциях, искусстве, астрономии, обществе, политике, метафизике и мистике, и требовали объяснить каждый из этих аспектов. Как только я удовлетворил(а) их вопросы, Сапиархи назвали многочисленные заклинания и потребовали, чтобы я продемонстрировал(а) их по одному. К сожалению, моих магических способностей было явно не достаточно, и большинство заклинаний не удалось. Я видел(а), как некоторые из Сапиархов задирали носы, а другие качают головами из стороны в сторону. В конце концов, они все замолчали. Затем, Сапиарх, стоящий прямо передо мной, заговорил. "Пятая часть экзамена завершена. Совет рассмотрит ваши ответы и поставит оценку Чистоте [Root.GetBestName] ".Сапиарх из центра зала призывает двух тяжело бронированных дремор и приказывает им сопроводить меня из помещения, затем один из дремор закрывает дверь позади меня.;;;;;;;;;;;;;x
Altmer85Acknowledge;Испытание продолжается...;;;;;;;;;;;;;x
Altmer85Title;Испытание Чистоты;;;;;;;;;;;;;x
Altmer86;Сапиархи спрашивали о философских концепциях, искусстве, астрономии, обществе, политике, метафизике и мистике, и требовали объяснить каждый из этих аспектов. Как только я удовлетворил(а) их вопросы, Сапиархи назвали многочисленные заклинания и потребовали, чтобы я продемонстрировал(а) их по одному. Мне удалось выполнить каждое из заклинаний, не совершив никаких ошибок. Несколько Сапиархов кивают головой, в знак одобрения. В конце концов, они все замолчали. Затем, Сапиарх, стоящий прямо передо мной, заговорил. "Пятая часть экзамена завершена. Совет рассмотрит ваши ответы и поставит оценку Чистоте [Root.GetBestName] ". Сапиарх из центра зала призывает двух тяжело бронированных дремор и приказывает им сопроводить меня из помещения, затем один из дремор закрывает дверь позади меня.;;;;;;;;;;;;;x
Altmer86Acknowledge;Испытание завершилось...;;;;;;;;;;;;;x
Altmer86Title;Испытание Чистоты;;;;;;;;;;;;;x
Altmer90;Я некоторое время ждал(а) вне помещения, затем, в конце концов двери открываются и два дреморы выходят. Они сопровождают меня обратно в зал, где меня встречают холодные взгляды Сапиархов, когда я сажусь в центральное кресло. Альтмер, говоривший на предыдущих этапах испытания, промолвил вновь: "Обсуждение завершено. Своим решением Совет сообщает, что вы нечисты. Вы позорите саму жизнь, и ваши коллеги будут уведомлены о вашем статусе". Сапиархи в очередной раз приказывают дреморам вывести меня из помещения. Когда я возвращаюсь домой после поездки, то чувствую себя подавленным. Я также слышу, как придворные беседуют, обсуждая мою, печально известную, нечистоту.;;;;;;;;;;;;;x
Altmer90Acknowledge;Я до сих пор ... нечист(а)!;;;;;;;;;;;;;x
Altmer90Title;Итог;;;;;;;;;;;;;x
Altmer91;Я некоторое время ждал(а) вне помещения, затем, в конце концов двери открываются и два дреморы выходят. Они сопровождают меня обратно в зал, где меня встречают холодные взгляды Сапиархов, когда я сажусь в центральное кресло. Альтмер, говоривший на предыдущих этапах испытания, промолвил вновь: "Обсуждение завершено. Своим решением, Совет утверждает, что вы чисты. Ваши способности вызывают сомнение, но по крайней мере, вы истинный альтмер, как и любой из наших собратьев-крестьян. Коллеги будут уведомлены о вашем статусе". Сапиархи в очередной раз приказывают дреморам вывести меня из помещения. Когда я возвращаюсь домой после поездки, меня встретили с достоинством и уважением. Двор был впечатлён новостью о том, что я теперь настоящий, чистый альтмер!;;;;;;;;;;;;;x
Altmer91Acknowledge;Я чист(а)!;;;;;;;;;;;;;x
Altmer91Title;Итог;;;;;;;;;;;;;x
Altmer92;Я некоторое время ждал(а) вне помещения, затем, в конце концов двери открываются и два дреморы выходят. Они сопровождают меня обратно в зал, где меня встречают холодные взгляды Сапиархов, когда я сажусь в центральное кресло. Альтмер, говоривший на предыдущих этапах испытания, промолвил вновь: "Обсуждение завершено. Своим решением, Совет утверждает, что вы чисты. Вы являетесь ярким примером альтмерского совершенства и гордостью своего народа. Это искреннее мнение Совета, и мы надеемся, что в грядущих начинаниях вам будет сопутствовать только успех. Коллеги будут уведомлены о вашем статусе". Сапиархи в очередной раз приказывают дреморам вывести меня из помещения. Вернувшись из поездки домой, я почувствовал(а) себя уверенно и счастливо, когда двор восторженно встретил меня как истинного, чистого Альтмера!;;;;;;;;;;;;;x
Altmer92Acknowledge;Я чист(а)!;;;;;;;;;;;;;x
Altmer92Title;Итог;;;;;;;;;;;;;x
imperial_bureaucracy_decision;Имперская Бюрократическая Политика;;;;;;;;;;;;;x
imperial_bureaucracy_decision_desc;Отправьте ваших бюрократов на одно из пяти заданий, которые предоставят вам бонус в течение ограниченного временного промежутка. Каждое задание имеет первоначальную стоимость и длится не бесконечно, но бонус от него будет идти в течение 5 лет, или пока ваш персонаж не умрёт. Эффект от этого бонуса зависит от вашего текущего ранга, но не влияет на ваш суверенитет.;;;;;;;;;;;;;x
imperial_bureaucracy_diplomacy_count;Улучшенные Посольства;;;;;;;;;;;;;x
imperial_bureaucracy_diplomacy_duke;Улучшенные Посольства;;;;;;;;;;;;;x
imperial_bureaucracy_diplomacy_king;Улучшенные Посольства;;;;;;;;;;;;;x
imperial_bureaucracy_diplomacy_emperor;Улучшенные Посольства;;;;;;;;;;;;;x
imperial_bureaucracy_martial_count;Ветеранское Мастерство Муштры;;;;;;;;;;;;;x
imperial_bureaucracy_martial_duke;Ветеранское Мастерство Муштры;;;;;;;;;;;;;x
imperial_bureaucracy_martial_king;Ветеранское Мастерство Муштры;;;;;;;;;;;;;x
imperial_bureaucracy_martial_emperor;Ветеранское Мастерство Муштры;;;;;;;;;;;;;x
imperial_bureaucracy_stewardship_count;Публичные Строительные Работы;;;;;;;;;;;;;x
imperial_bureaucracy_stewardship_duke;Публичные Строительные Работы;;;;;;;;;;;;;x
imperial_bureaucracy_stewardship_king;Публичные Строительные Работы;;;;;;;;;;;;;x
imperial_bureaucracy_stewardship_emperor;Публичные Строительные Работы;;;;;;;;;;;;;x
imperial_bureaucracy_intrigue_count;Продвинутые Операции Контрразведки;;;;;;;;;;;;;x
imperial_bureaucracy_intrigue_duke;Продвинутые Операции Контрразведки;;;;;;;;;;;;;x
imperial_bureaucracy_intrigue_king;Продвинутые Операции Контрразведки;;;;;;;;;;;;;x
imperial_bureaucracy_intrigue_emperor;Продвинутые Операции Контрразведки;;;;;;;;;;;;;x
imperial_bureaucracy_learning_count;Субсидирование Искусств;;;;;;;;;;;;;x
imperial_bureaucracy_learning_duke;Субсидирование Искусств;;;;;;;;;;;;;x
imperial_bureaucracy_learning_king;Субсидирование Искусств;;;;;;;;;;;;;x
imperial_bureaucracy_learning_emperor;Субсидирование Искусств;;;;;;;;;;;;;x
Imperials1;Лучшие офицеры и агенты получат мои личные приказы. Какую бюрократическую политику я буду проводить?;;;;;;;;;;;;;x
Imperials1Diplomacy;Улучшенные Посольства;;;;;;;;;;;;;x
Imperials1DiplomacyTooltip;Увеличение финансирования позволит осуществить реконструкцию наших посольств и повсеместно переподготовить всех тамошних работников. Наши послы будут получать более высокую плату и стипендию, что позволит купить подарки для вассалов и иностранных гостей. Это поспособствует улучшению вашей репутации в глазах других людей.\n;;;;;;;;;;;;;x
