aambition.1.opta;Вот деньги, а теперь... где мой амулет?!;;;;;;;;;;;;;x;
aambition.1.optb;Я в этом не нуждаюсь...;;;;;;;;;x;;;;;
aambition.2.opta;Ой...;;;;;;;;;x;;;;;
aambition.3.opta;Позор...;;;;;;;;;x;;;;;
aambition.3.optb;Вы можете остаться при моем дворе.;;;;;;;;;x;;;;;
aambition.4.opta;Ну наконец-то!;;;;;;;;;x;;;;;
aambition.4.optb;Вы, двое. Останетесь жить при моем дворе.;;;;;;;;;x;;;;;
aambition.5.opta;Вот ваши деньги, дорогой купец!;;;;;;;;;x;;;;;
aambition.5.optb;Я не хочу иметь с вами никаких дел.;;;;;;;;;x;;;;;
aambition.17.opta;Верно, это был сам аватар Акатоша!;;;;;;;;;x;;;;;
aambition.17.optb;Надеюсь, это не фальшивка...;;;;;;;;;x;;;;;
aambition.7.opta;Сделка заключена!;;;;;;;;;x;;;;;
aambition.7.optb;Драконья Стража? Насколько я знаю, её больше нет...;;;;;;;;;x;;;;;
aambition.8.opta;Это замечательно! Спасибо тебе, мой Драконий страж!;;;;;;;;;x;;;;;
aambition.8.optb;Я благодарен. С этого момента я твой господин, а ты мой Клинок!;;;;;;;;;x;;;;;
aambition.9.opta;Приключения, я иду к вам!;;;;;;;;;x;;;;;
aambition.9.optb;Я что, должен оставить свой замок!;;;;;;;;;x;;;;;
aambition.10.opta;Драка! ;;;;;;;;;x;;;;;
aambition.fighttooltip;Есть шанс, что вы получите травму, будете искалечены, станете недееспособным или даже умрёте.;;;;;;;;;x;;;;;
aambition.10.optb;Передвигаться скрытно.;;;;;;;;;x;;;;;
aambition.sneaktooltip;Есть шанс, что вы получите травму, будете искалечены, станете недееспособным или даже умрёте.;;;;;;;;;x;;;;;
aambition.10.optc;Давайте просто вернемся домой...;;;;;;;;;x;;;;;
aambition.11.opta;Вперед! В Зал Правосудия!;;;;;;;;;x;;;;;
aambition.11.optb;Мне страшно! Я иду домой!;;;;;;;;;x;;;;;
aambition.12.opta;Драка!;;;;;;;;;x;;;;;
aambition.12.optb;Передвигаться скрытно.;;;;;;;;;x;;;;;
aambition.13.opta;Вперед! В могильник императора Ремана!;;;;;;;;;x;;;;;
aambition.13.optb;Мне страшно! Я иду домой!;;;;;;;;;x;;;;;
aambition.14.opta;Осталось просто найти этот амулет...;;;;;;;;;x;;;;;
aambition.14.optb;Я не должен прогневать духов! Вернусь лучше домой!;;;;;;;;;x;;;;;
aambition.15.opta;Драка!;;;;;;;;;x;;;;;
aambition.15.optb;Передвигаться скрытно.;;;;;;;;;x;;;;;
aambition.16.opta;Да я Царь Царей!;;;;;;;;;x;;;;;
aambition.16.optb;Подождите ... у кого-то еще есть ?!;;;;;;;;;x;;;;;
amass_wealth_help;Спросите сеньора по вопросу накопления богатства;;;;;;;;;x;;;;;
amass_wealth_help_desc;Попросите вашего друга, [Root.Liege.GetTitledFirstName], предоставить вам помощь по накоплению богатства.;;;;;;;;;x;;;;;
attacker_forced_peace_tooltip;[This.GetFirstName] вынужден заключить мир.;;;;;;;;;x;;;;;
bastardevents.0.a;Интересно, что он скажет.;;;;;;;;;x;;;;;
bastardevents.0.desc;Моя мать попросит моего отца узаконить меня.;;;;;;;;;x;;;;;
bastardevents.1.a;Отклонить абсурдную просьбу!;;;;;;;;;x;;;;;
bastardevents.1.b;Удовлетворить просьбу и дать возможность наследовать.;;;;;;;;;x;;;;;
bastardevents.1.desc;Мать моего бастарда просит меня узаконить его.;;;;;;;;;x;;;;;
bastardevents.2.a;Ну, есть и другие варианты...;;;;;;;;;x;;;;;
bastardevents.2.b;Может быть он обдумает это, если я буду работать усерднее.;;;;;;;;;x;;;;;
bastardevents.2.c;Всё в порядке, в любом случае я не хотел наследовать.;;;;;;;;;x;;;;;
bastardevents.2.desc;Отец отказался узаконить меня.;;;;;;;;;x;;;;;
bastardevents.3.a;Моей матери это понравилось.;;;;;;;;;x;;;;;
bastardevents.3.desc;Отец решил узаконить меня!;;;;;;;;;x;;;;;
bastardevents.4.a;Какой дурак!;;;;;;;;;x;;;;;
bastardevents.4.desc;Отец вашего сына отказался его узаконить.;;;;;;;;;x;;;;;
bastardevents.5.a;Он любит меня!;;;;;;;;;x;;;;;
bastardevents.5.desc;Отец вашего сына, [From.GetFirstName], решил узаконить его.;;;;;;;;;x;;;;;
bastard_chain_tooltip;Прошение о легитимизации.;;;;;;;;;x;;;;;
battleambition.0.desc;Я столкнулся лицом к лицу с моим врагом на поле боя и показал свою смелость.;;;;;;;;;x;;;;;
battleambition.1.desc;Я столкнулся лицом к лицу с язычником на поле боя и показал свою смелость.;;;;;;;;;x       ;;;;;
battleambition.10.a;Я сражаюсь с благословения богов!;;;;;;;;;x;;;;;
battleambition.10.b;Я сражаюсь с благословения [Root.Religion.GetRandomGodName]!;;;;;;;;;x  ;;;;;
battleambition.10.desc;Враг бросил свое копье и попал им в щит [Root.GetFirstName] . 'Я попал!', крикнул он, 'И я не думаю, что теперь ты проживешь долго.' [Root.GetFirstName] ответил не смущаясь: 'Промах, не попадание!' Затем [Root.GetSheHe] бросил. Судьба повела копье к носу человека. Он выпал из седла, его броня поблескивала на солнце. Лошадь шарахнулась, жизнь и мужество бойца остались позади.;;;;;;;;;x;;;;;
battleambition.11.a;Это было удивительное зрелище. Воины наблюдали за ним с большим интересом.;;;;;;;;;x ;;;;;
battleambition.11.desc;...дикарь, теперь сердитый и в отчаянии, [Root.GetSheHe] поднял его высоко над его головой и ударил со всей силы.Попав врагу в шею, он сломал ему кости и голосовые связки. Безжизненное тело упало на пол. Меч был окровавлен, и [Root.GetBestName] очень радовался его виду.;;;;;;;;;x     ;;;;;
battleambition.12.a;Сочетать мужество с осторожностью - весьма не глупо...;;;;;;;;;x;;;;;
battleambition.12.desc;Как придворный шут, я старался развлекать войска моего сеньора перед боем.Я стоял между двумя отрядами, жонглируя ножами и поя Песнь о Ремане. Ко мне подбежал враг и бросил мне вызов, а я сразу кинул ему в горло нож!;;;;;;;;;x;;;;;
battleambition.13.a;Ух, я не мертв. Возможно я смогу протянуть до конца!;;;;;;;;;x;;;;;
battleambition.13.desc;Мужчины начали падать духом, поэтому я попытался сплотить их, что бы сделать ещё одно наступление на вражескую кавалерию. Именно тогда я был поражён стрелой!\n'Храбрый, храбрый [Root.GetBestName],' Я слышу,  слова товарища, 'вы выжили не напрасно!';;;;;;;;;x ;;;;;
battleambition.14.a;Легко заметить, что вы не готовы к приключениям.;;;;;;;;;x;;;;;
battleambition.14.desc;Ну, идите, трусливые и мерзкие существа, для вас достаточно одного рыцарского удара! Когда он ехал с копьем поднялся настолько сильный ветер, что копье упало и разбилось в щепки, а всадник упал с седла и остался лежать на земле в плачевном состоянии.;;;;;;;;;x           ;;;;;
battleambition.2.a;Враг убит, но моё прекрасное оружие было сломано!;;;;;;;;;x;;;;;
battleambition.2.desc;Я был на передовой битвы и начал наступление, когда какой-то глупый всадник начал мчатся ко мне с противоположной стороны, несомненно, пытаясь убить меня. Я бы мог отступить, но мне хотелось стать хорошим примером для моих людей, по этому я остался, дабы противостоять этому рыцарю. Когда он приблизился,  я привстал на своих стременах и кинул топор в его лицо.;;;;;;;;;x           ;;;;;
battleambition.3.a;Он поблагодарил меня за спасение.;;;;;;;;;x ;;;;;
battleambition.3.b;Возможно, я смогу использовать этого глупого рыцаря.;;;;;;;;;x ;;;;;
battleambition.3.c;Я провел лекцию о терпении.;;;;;;;;;x ;;;;;
battleambition.3.d;Попросить его больше никогда такого не делать.;;;;;;;;;x ;;;;;
battleambition.3.desc;Я пытался держать людей в строю, когда один из моих солдат пошёл атаковать группу врагов. Дурак, в конечном итоге, получил удар копьем. После приказа солдатам оставаться на месте, я побежал от линии фронта, чтобы спасти его. Я отбросил врага и вместе мы отступили к безопасным рядам.;;;;;;;;;x;;;;;
battleambition.4.a;Спасибо ему за спасение.;;;;;;;;;x;;;;;
battleambition.4.b;Наградить его за храбрость.;;;;;;;;;x;;;;;
battleambition.4.desc;Все-таки я нашёл себе нетерпеливых и агрессивных врагов. Я убил некоторых их них, но один все же попал в меня копьем. К счастью, когда я собрался снова ударить их, один из солдат с моей стороны заколол их и помог отогнать других. Вместе мы вернулись в наши ряды и были встречены бравыми криками солдат, восхищающихся нашей храбростью!;;;;;;;;;x;;;;;
battleambition.5.a;Он выплатит достойный выкуп.;;;;;;;;;x;;;;;
battleambition.5.desc;Расступитесь, перед [Root.GetOnlyDynastyName] ! В общем-то, я был невредим после падения с лошади, но рыцарь надо мной все еще продолжал кричать на меня, требуя сдаться. Так как я был дезориентирован после падения, я не думал, что он представляет для меня большой угрозы. Вот тогда я и вспомнил, что на моём шлеме есть шип в верхней его части, и я пронзил им вражескую  лошадь. 'Даэдра тебя побери...' закричал рыцарь.;;;;;;;;;x ;;;;;
