death_text_default;Несмотря на свои грехи, мы надеемся, что [GetFirstName] найдет покой в загробной жизни.;;;;;;;;;x
death_text_neutral;Несмотря на свои грехи, мы надеемся, что [GetFirstName] найдет покой в загробной жизни.;;;;;;;;;x
death_text_lustful;Известный за свою любвеобильность, [GetFirstName] прожил крайне веселую и горячую жизнь, оставив на свет не одного наследника. ;;;;;;;;;x
death_text_gluttonous;Из-за своей прожорливости [GetSheHe] отходит в мир иной в далеко не в самой лучшей форме. На свете мало людей, кто так же бы разбирался в изысканности блюд и напитков.;;;;;;;;;x
death_text_greedy;Жадина [GetSheHe] часто говорил об увеличении налогов и их необходимости. И хотя это нисколько не нравилось подданым, [GetFirstName] искренне верил, что это для общего блага.;;;;;;;;;x
death_text_slothful;Из-за своей праздности [GetSheHe] мало уделял внимания государственным делам. Даже смерть не особо повлияла на эту пассивную жизнь…;;;;;;;;;x
death_text_envious;Из-за своей зависти [GetSheHe] уходит в мир иной и запомнится людям исключительно за свою жадность.;;;;;;;;;x
death_text_wroth;Из-за гневного характера люди боялись пересекаться с [GetHerHim]. Когда [GetFirstName] сталкивался с проблемой, [GetSheHe] был непоколебим в своих решениях.;;;;;;;;;x
death_text_proud;Гордый и заносчивый [GetSheHe] всегда желал, дабы окружающие знали о [GetHerHis] величии. Ушедший в мир иной был полон самоуважения и достоинства.;;;;;;;;;x
death_text_chaste;Ушедший в мир иной был известен своей целомудренностью. Пламя страсти было бессильно против [GetFirstName].;;;;;;;;;x
death_text_temperate;Из-за своей умеренности покойник никогда не стремился стать лучше [GetHerHim]. [GetFirstName] заботился только о дисциплине и порядке.;;;;;;;;;x
death_text_charitable;Известный за свою щедрость, [GetSheHe] оставил деньги своим друзьям и семье. [GetFirstName] хотел покинуть Нирн как монжо лучше, даже если это будет стоить денег.;;;;;;;;;x
death_text_diligent;[GetFirstName] был настоящим трудоголиком. С какими бы проблемами [GetSheHe] не сталкивался, он всегда находил выход из самой трудной ситуации.;;;;;;;;;x
death_text_kind;Известный за свою доброту [GetFirstName] ни разу в жизни не сказал плохого слова о ком-либо. ;;;;;;;;;x
death_text_patient;Всегда спокойный, [GetSheHe] никогда не срывался на гнев и всегда просчитывал свои действия.;;;;;;;;;x
death_text_humble;Скромность была крайной чертой покойника. [GetSheHe] никогда не стремился к совершенству и показухе.;;;;;;;;;x
heir_text_traits_ruthless;Истинно верующий в идею, что цель оправдывает средства, [GetFirstName] был жесток и никогда не прощал тех, кто встал на [GetHerHis] пути.;;;;;;;;;x
heir_text_traits_reckless;Из-за своей вспыльчивости [GetFirstName] принял много поспешных решений, что обошлись королевству дорогой ценой.;;;;;;;;;x
heir_text_traits_absent_minded;[GetFirstName] обладал кратковременной памятью и легко отвлекался, что не особо помогало [GetHerHis] правлению.;;;;;;;;;x
heir_text_traits_vain;[GetFirstName] заботился о своем внешнем виде превыше всего. Гости при [GetHerHis] дворе всегда должны были быть поражены [GetHerHis] красотой.;;;;;;;;;x
heir_text_traits_slovenly;[GetFirstName] мало заботился о своей внешности и личной гигиене, что часто было предметом обсуждений слуг, придворных и чиновников.;;;;;;;;;x
heir_text_traits_dragonborn;Рожденный с душой дракона [GetFirstName] принес много веры и влияния [Religion.GetHighGodName]. [GetFirstName], несомненно, приведет нас в эпоху процветания и мира.;;;;;;;;;x
