rumored_weak_ruler;Слух: слабый правитель;;;;;;;;;;;;;x
rumored_weak_ruler_desc;Этот персонаж, по слухам, будет слабым правителем.;;;;;;;;;;;;;x
rumored_night_monster;Слух: ночной монстр;;;;;;;;;;;;;
rumored_night_monster_desc;Этот персонаж, по слухам, ночная тварь.;;;;;;;;;;;;;x
rumored_treasonous_bastard;Слух: бастард-изменник;;;;;;;;;;;;;x
rumored_treasonous_bastard_desc;Этот персонаж, по слухам, будет бастардом-изменником.;;;;;;;;;;;;;x
rumored_tried_starting_rumours;Попытаться пустить слухи;;;;;;;;;;;;;x
rumored_tried_starting_rumours_desc;Этот персонаж пытается запустить порочащие слухи.;;;;;;;;;;;;;x
opinion_tried_to_usurp;Попытался посягнуть на мою позицию;;;;;;;;;;;;;x
opinion_usurped_position;Попытался посягнуть на мою позицию;;;;;;;;;;;;;x
opinion_relieved;Уволить;;;;;;;;;;;;;x
opinion_traitor_scum;Предатель;;;;;;;;;;;;;x
opinion_informed_about_treason;Сообщить об измене;;;;;;;;;;;;;x
opinion_stingy;Скупой;;;;;;;;;;;;;x
opinion_falsified_evidence;Сфальсифицировать доказательства;;;;;;;;;;;;;x
plot_replace_regent_decision_75;Отправить запрос о назначении регентом;;;;;;;;;;;;;x
plot_replace_regent_decision_100;Отправить запрос о назначении регентом;;;;;;;;;;;;;x
EKplots.1_desc;[From.GetTitledFirstName] претензии [From.GetSheHe] более подобающие, чтобы быть вашим регентом, нежели основания [event_target:target_current_regent.GetTitledFirstName].;;;;;;;;;;;;;x
EKplots.1_OPTA;Действительно.;;;;;;;;;;;;;x
EKplots.1_OPTB;Нет, я так не думаю.;;;;;;;;;;;;;x
EKplots.2_desc;Я согласен, вы, [Root.GetFirstName], больше подходите для должности регента.\n\n[Root.liege.GetTitledName];;;;;;;;;;;;;x
EKplots.2_OPT;Отлично!;;;;;;;;;;;;;x
EKplots.3_desc;Ваше прошение на назначение регентом отклонено, [Root.GetFirstName].\n\n[Root.liege.GetTitledName];;;;;;;;;;;;;x
EKplots.3_OPT;Я понимаю, мой господин;;;;;;;;;;;;;x
EKplots.4_desc;[Root.liege.GetTitledFirstName] назначен [FromFrom.GetTitledFirstName] в качестве [Root.liege.GetHerHis] нового регента, заменив вас.;;;;;;;;;;;;;x
EKplots.4_OPT;Мой титул...;;;;;;;;;;;;;
EKplots.5_desc;[FromFrom.GetTitledFirstName] пытался оказать давление на меня, чтобы я назначил [FromFrom.GetHerHim] моим новым регентом, но я решил сохранить этот титул за вами.\n\n[Root.liege.GetTitledName];;;;;;;;;;;;;x
EKplots.5_OPT;Благодарю вас, мой господин.;;;;;;;;;;;;;x
EKplots.12_desc;[From.GetFirstName] попросил меня помочь с его заговором, чтобы сфальсифицировать кое-какие улики против [plot_target.GetFirstName].;;;;;;;;;;;;;x
EKplots.12_OPT;Давайте посмотрим, что я могу придумать.;;;;;;;;;;;;;x
EKplots.12_OPTdesc;Посмотреть, сможет ли ваша шпионская сеть найти способ помочь вам.;;;;;;;;;;;;;x
EKplots.13_desc;Я думаю, что смогу создать достаточно убедительные доказательства злодеяний [plot_target.GetFirstName].;;;;;;;;;;;;;x
EKplots.13_OPTA;Так, где моё перо?;;;;;;;;;;;;;x
lets_try_something_else;Следующей моей мыслью было: попробуем что-нибудь другое.;;;;;;;;;;;;;x
EKplots.14_desc;Я нашел [Root.GetManWomanOpp] который говорит, что [Root.GetSheHeOpp] является экспертом в подделке документов и [Root.GetSheHeOpp] может немедленно приступить к работе. Но прежде, чем [Root.GetSheHeOpp] возьмется за дело, [Root.GetSheHeOpp] просит внести оплату авансом.;;;;;;;;;;;;;x
EKplots.14_OPTA;Я уверен, что [FromFrom.GetFirstName] покроет мои расходы.;;;;;;;;;;;;;x
