itwastoomuch;Пытки были слишком тяжёлые, и вы умерли.;;;;;;;;;;;;;x
ktorture10d;Мучитель извещён о том, что [From.GetBestName] не удалось отговорить отказаться от притязаний. Жертва представляет из себя что-то похожее на кровоточащий кусок мяса, и дальнейшие пытки принесут смерть или полную недееспособность узника.;;;;;;;;;;;;;x
ktorture10o1;Продолжайте! Мне нужны результаты!;;;;;;;;;;;;;x
ktorture11d;Жертва проинформирована о последней пытке - она либо будет убита, либо получит самые ужасные увечья.;;;;;;;;;;;;;x
ktorture11o1;Заключённый отказался от притязаний.;;;;;;;;;;;;;x
ktorture11o2;Заключённый решил держаться до конца.;;;;;;;;;;;;;x
ktorture12d;Мучитель информирует жертву о том, что все её кости сломаны и всё, что можно было отрезать - отрезано. [From.GetBestName] 'победил', но теперь он представляет из себя лишь окровавленный кусок мяса.;;;;;;;;;;;;;x
ktorture1d;Информируем жертву, что её подвергнут пыткам для отказа от претензий на [From.GetTitledFirstName].;;;;;;;;;;;;;x
ktorture20d;Информируем жертву, что она может подвергнуться пыткам, но смена религии может облегчить её участь.;;;;;;;;;;;;;x
ktorture20o1;В этом нет нужды! На самом деле, я всегда был тайным последователем этой религии!;;;;;;;;;;;;;x
ktorture1o1;Стойте! В этом нет нужды! Я отказываюсь от притязаний!;;;;;;;;;;;;;x
ktorture20o2;Я никогда не отвергну мою веру! Убирайся, проклятый иноверец!;;;;;;;;;;;;;x
ktorture1o2;Эти земли мои по праву, я никогда не откажусь от них!;;;;;;;;;;;;;x
ktorture2d;Информируем мучителя, что жертва отказывается от своих претензий без каких-либо пыток.;;;;;;;;;;;;;x
ktorture21d;Информируем мучителя, что жертва обращается без каких-либо пыток.;;;;;;;;;;;;;x
ktorture2o1;Хм, пожалуй я всё равно буду тебя мучить.;;;;;;;;;;;;;x
ktorture2o2;Ну что же, это больше меня не развлекает. Я думаю, ты можешь идти...;;;;;;;;;;;;;x
ktorture60d;Жертва проинформирована о своём освобождении.;;;;;;;;;;;;;x
ktorture60o;Свобода!;;;;;;;;;;;;;x
ktorture61d;Ваш мучитель и его приспешники переводят вас в камеру и запирают в ней.;;;;;;;;;;;;;x
ktorture61o;Уф!;;;;;;;;;;;;;x
ktorture62d;Мучителю сообщили, что жертва погибла в результате пыток.;;;;;;;;;;;;;x
ktorture62o;Упс!;;;;;;;;;;;;;x
ktorture3d;Мучителю сообщили, что [From.GetBestName] не отказался от своих притязаний.;;;;;;;;;;;;;x
ktorture3d;Мучителю сообщили, что [From.GetBestName] отказался переходить в другую веру.;;;;;;;;;;;;;x
ktorture3o;Продолжить мучить [From.GetBestName].;;;;;;;;;;;;;x
ktorture4d;Меня пытают! Как же это больно, слишком мучительная боль.;;;;;;;;;;;;;x
ktorture4o1;Прошу! Остановитесь! Я сделаю всё, что вам угодно!;;;;;;;;;;;;;x
ktorture4o2;Делайте что угодно, но я не сдамся!;;;;;;;;;;;;;x
ktorture5d;Уведомить палача, что жертва отказалась от своих притязаний.;;;;;;;;;;;;;x
ktorture24d;Уведомить мучителя, что жертва согласилась перейти в другую веру.;;;;;;;;;;;;;x
CONVERTTORTURE;Вы перейдёте в религию своего мучителя.;;;;;;;;;;;;;x
ktorture5o1;Отлично...теперь мы вернёмся в темницу!;;;;;;;;;;;;;x
ktorture6d;Жертва всё ещё не хочет отказываться от своих претензий.;;;;;;;;;;;;;x
ktorture6o1;Продолжить пытать [From.GetBestName].;;;;;;;;;;;;;x
ktorture6o2;Бросить [From.GetBestName] обратно в темницу.;;;;;;;;;;;;;x
ktorture6o3;[From.GetBestName] никогда не сдастся. Освободить пленника.;;;;;;;;;;;;;x
ktorture7d;Жертве сообщили о продолжении пыток.;;;;;;;;;;;;;x
ktorture9d;Жертве сообщили о новых пытках.;;;;;;;;;;;;;x
ktorture300d;[From.GetTitledFirstName] решил(а) сегодня сорвать на вас свою злость и агрессию, вас бесцеремонно вытащили из темницы и бросили в камеру пыток с [From.GetTitledFirstName] и его (её) палачами.;;;;;;;;;;;;;x
ktorture300o1;Прошу, нет!;;;;;;;;;;;;;x
ktorture301d;Вы решили мучить [From.GetTitledFirstName] не ради дела, а просто ради забавы. Как будет проходить пытка?;;;;;;;;;;;;;x
ktorture301o1;Как насчёт подправить внешность с помощью этих острых инструментов?!;;;;;;;;;;;;;x
ktorture301o2;На дыбу!;;;;;;;;;;;;;x
ktorture301o3;Где-то здесь было устройство для сжатия голов...;;;;;;;;;;;;;x
ktorture301o4;Хм, может позже.;;;;;;;;;;;;;x
