#####
# Men
#####
## Акавирец
akaviri;Акавирец;Акавирец;Акавирец;;Акавирец;;;;;;;;;x
akaviri_desc;Этот персонаж человек-акавирец с северной части Восточного Континента. Этот народ известен своей почти незыблемой силой воли, хорошими способностями к правлению и боевой доблестью;;;;;;;;;;;;;x
## Breton
breton;Бретон;Бретон;Бретон;;Бретон;;;;;;;;;x
breton_desc;Этот персонаж Бретон, человек из Хай-Рока. Из-за своих эльфийских предков бретоны являются очень сильными магами. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Imperial
imperial;Имперец;Имперец;Имперец;;Имперец;;;;;;;;;x
imperial_desc;Имперская культура - это сплав различных культур из плавильного котла Имперского Острова и плодородных земель вокруг озера Румаре. Собрав основные черты нибенейцев и коловианцев. Имперцы становятся отличными дипломатами, торговцами и руководителями. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Kamal
kamal;Камаль;;;;;;;;;;;;;x
kamal_desc;Камаль - стойкие и крепкие люди южного Акавира. В прошлом они часто совершали набеги на север - в более плодородные земли Акавира, и чтоб оставаться ближе к дому в зимние месяца у них появилось тайное мастерство "снежных демонов", использованное Цаэски и Танг Мо как оскорбление камаль, но сейчас они носят это прозвище с гордостью. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Nord
nord;Норд;Норд;Норд;;Норд;;;;;;;;;x
nord_desc;Этот персонаж - Норд, потомок первых людских поселенцев в Тамриэле. Суровая погода родного Скайрима сделала их невероятно устойчивыми к холоду. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;x
## Quey
quey;Квей;;;;;;;;;;;;;x
quey_desc;Этот персонаж - Квей, житель архипелагов между Тамриэлем и Акавиром. Из них часто выходят умелые дипломаты и интриганы, но они менее искусны в магии. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Reachman
reachman;Ричмен;Ричмен;Ричмен;;Ричмен;;;;;;;;;x
reachman_desc;Ричмены, также известные как Ведьмаки Хай Рока, являются потомками бретонцев и нордов, которые смогли создать отдельную, уникальную культуру с собственным бытом и порядком в пограничном районе между Скайримом и Хай Роком - Пределе. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
## Redguard
redguard;Редгард;;;;;;;;;;;;;x
redguard_desc;Этот персонаж - Редгард, человек из заслушивых земель Хаммерфелла. Они рождены для битвы и имеют естественное сопротивление ядам. \n\n[Root.GetIsShortLivedRace]\n;;;;;;;;;;;;;x
#####
# Mer
#####
## Elven age
mer_young;§YМолодой§!;;;;;;;;;;;;;x
mer_adult;§YЗрелый§!;;;;;;;;;;;;;x
mer_aging;§YПожилой§!;;;;;;;;;;;;;x
mer_old;§YДревний§!;;;;;;;;;;;;;x
## Altmer
altmer;Альтмер;Альтмер;Альтмер;;Альтмер;;;;;;;;;x
altmer_desc;Альтмеры, или Высшие Эльфы, уроженцы архипелага Саммерсет, наиболее долго живущая раса в Тамриэле с большими способностями к магии.\n\nВозраст [Root.GetFirstName]: [Root.GetElvenAge].\n\n[Root.GetIsLongLivedRace]\n;;;;;;;;;;;;;x
## Ayleid
ayleid;Айлейд;;;;;;;;;;;;;x
