kamal_pilgrimage_loot;Обнаруженна ценная добыча во владениях бандитов.;;;;;;;;;;;;;x;
kamal_winter_pilgrimage;Блуждать по ветру;;;;;;;;;;;;;x;
kamal_winter_pilgrimage_desc;Последователи Ветров Камаля могут в одиночку бродить по тундре в поисках духовного просветления и как способ доказать свою ценность как лидера.;;;;;;;;;;;;;x;
ekakaviri.1.desc;Прежде чем отправиться в путешествие под Ветрами, я должен решить, где в Камале я хотел бы провести время в одиночестве.;;;;;;;;;;;;;x;
ekakaviri.1.coast;Рядом с побережьем.;;;;;;;;;;;;;x;
ekakaviri.1.hills;В предгорьях.;;;;;;;;;;;;;x;
ekakaviri.1.mountains;В замерзших горах.;;;;;;;;;;;;;x;
kamal_pilgrimage_coast_desc;Земли у побережья более умеренные и более безопасные, но не рассматриваются как внушительное препятствие.;;;;;;;;;;;;;x;
kamal_pilgrimage_hills_desc;Предгорья Камаль - неумолимое место.;;;;;;;;;;;;;x;
kamal_pilgrimage_mountains_desc;Многие, кто отправляется в горы один, не возвращаются.;;;;;;;;;;;;;x;
ekakaviri.2.coast;Отправляясь из своего трюма с ограниченными запасами, я начинаю путешествовать к низменностям. Моё испытание начался.;;;;;;;;;;;;;x;
ekakaviri.2.hills;Прибыв в заснеженные равнины, я знаю, что путешествие впереди меня не будет легким. Вдали видны грозовые тучи, но пока все спокойно.;;;;;;;;;;;;;x;
ekakaviri.2.mountains;Мне удалось пройти через горы в центре Камаля. Что ждет меня впереди, я не знаю ..;;;;;;;;;;;;;x;
ekakaviri.2.accept;Вперед!;;;;;;;;;;;;;x;
ekakaviri.3.coast;На горизонте стоит группа рейдеров, которые, кажется, разоряют этот регион. Кажется, они меня еще не заметили.;;;;;;;;;;;;;x;
ekakaviri.3.hills;Я вижу дым от огня, поднимающийся над гребнем соседнего холма. Учитывая найденные в этом районе разграбленные тела, можно сделать только один вывод: бандиты. К счастью, холм скрывает меня от их глаз.;;;;;;;;;;;;;x
ekakaviri.3.avoid;Лучше оставить все как есть.;;;;;;;;;;;;;x;
ekakaviri.3.fight;Испытаем их!;;;;;;;;;;;;;x;
ekakaviri.4.desc;Складывая свою сумку на весь день, я не могу не удивляться зрелищу, окружающему меня. Даже в этой неумолимой земле все еще есть красота, чтобы созерцать.;;;;;;;;;;;;;x;
ekakaviri.4.stressed;Я чувствую, как мои заботы тают.;;;;;;;;;;;;;x;
ekakaviri.4.depressed;Жизнь не так уж и плоха.;;;;;;;;;;;;;x;
ekakaviri.4.accept;Удивительное зрелище!;;;;;;;;;;;;;x;
ekakaviri.5.desc;Начался шторм, покрывающий регион снегом и льдом. Вряд ли я смогу добиться большого прогресса в такую погоду.;;;;;;;;;;;;;x;
ekakaviri.5.shelter;Ищите укрытие в пещере.;;;;;;;;;;;;;x;
ekakaviri.5.endure;Ветрам нечего бояться.;;;;;;;;;;;;;x;
kamal_pilgrimage_sick;Осушенный ветрами;;;;;;;;;;;;;x;
kamal_pilgrimage_sick_major;Искалеченный ветрами;;;;;;;;;;;;;x;
ekakaviri.6.desc;Я едва вижу свою руку перед собой в этой метели. Снег быстро делает местность неузнаваемой, но я думаю, что могу найти дорогу обратно в соседнюю пещеру.;;;;;;;;;;;;;x;
ekakaviri.6.shelter;Пока я не замерзну первым.;;;;;;;;;;;;;x;
ekakaviri.6.endure;Потребуется больше, чем смертельная погода, чтобы удержать меня.;;;;;;;;;;;;;x;
ekakaviri.7.desc;Блуждающий отшельник пересекался со мной сегодня. Он предложил мне горячую еду и немного своей мудрости, долгожданную роскошь в дикой природе.;;;;;;;;;;;;;x;
ekakaviri.7.donate;Я благодарю его за помощь.;;;;;;;;;;;;;x;
ekakaviri.7.dont;Добрый, но не очень экономичный.;;;;;;;;;;;;;x;
ekakaviri.8.four_winds;Сквозь снегопад, я вижу группу мертвецов, бродящих впереди меня. Некоторые говорят, что они уже были до Камаль на этих землях.;;;;;;;;;;;;;x;
