### Decisions
reach_flavour_create_de_jure_reach;Сформировать де-юре Королевство Предел;;;;;;;;;;;;;x
reach_flavour_create_de_jure_reach_desc;Земли Предела были разделены на века. Если мы захватим эти земли у нордов и бретонцев, мы сможем сформировать наше собственное королевство.;;;;;;;;;;;;;x
SKYRIM_TWO_KINGS_HIGH_OPINION_CT;2 Короля Скайрима с высоким (§G50§!) мнением о вас.;;;;;;;;;;;;;x
SKYRIM_HIGH_KING_HIGH_OPINION_CT;Верховный Король Скайрима с высоким (§G50§!) мнением о вас.;;;;;;;;;;;;;x
SKYRIM_EMPEROR_HIGH_OPINION_CT;Император с некоторыми землями в Скайриме с высоким (§G50§!) мнением о вас.;;;;;;;;;;;;;x
HIGH_ROCK_TWO_KINGS_HIGH_OPINION_CT;2 Короля Хай Рока с высоким (§G50§!) мнением о вас.;;;;;;;;;;;;;x
HIGH_ROCK_HIGH_KING_HIGH_OPINION_CT;Верховный Король Хай Рока с высоким (§G50§!) мнением о вас.;;;;;;;;;;;;;x
HIGH_ROCK_EMPEROR_HIGH_OPINION_CT;Император с некоторыми землями в Хай Роке с высоким (§G50§!) мнением о вас.;;;;;;;;;;;;;x
REACH_FLAVOUR_DE_JURE_KINGDOM_DIPLOMATIC_WAY_CT;Персонажи с достаточно высоким навыком дипломатии (§Y>= 20§!) могут убедить правителей Хай-Рока и Скайрима признать Предел независимым регионом.;;;;;;;;;;;;;x
REACH_ALL_LAND_RIGHT_CULTURE_CT;Каждая провинция в пределах досягаемости разделяет вашу §Y[Root.Culture.GetName]§! культуру.;;;;;;;;;;;;;x
REACH_FLAVOUR_DE_JURE_KINGDOM_MILITARISTIC_WAY_CT;Персонажи с достаточно высоким военным навыком (§Y>= 20§!) могут навязать свое господство в пределах досягаемости, обратив все провинции региона в свою культуру.;;;;;;;;;;;;;x
REACH_FLAVOUR_DE_JURE_KINGDOM_ELDER_COUNCIL_CT;Совет Старейшин также может проголосовать по этому вопросу.;;;;;;;;;;;;;x
claim_redeagle;Получить Ярость Красного Орла;;;;;;;;;;;;;x
claim_redeagle_desc;Претендуйте на оружие Фаолана, Ярость Красного Орла.;;;;;;;;;;;;;x
claim_armor_of_the_old_gods;Получить доспехи Старых Богов;;;;;;;;;;;;;x
claim_armor_of_the_old_gods_desc;Претендуйте на благословленные колдунами предела Доспехи Древних Богов.;;;;;;;;;;;;;x
become_faolan_reborn;Почтить наследие Фаолана;;;;;;;;;;;;;x
become_faolan_reborn_desc;Легенды Предела говорят, что когда наши земли наконец освободятся, Фаолан вернется и поведет нас.;;;;;;;;;;;;;x
REACH_LIBERATED_CT;Предел полностью освобожден и находится под вашим контролем.;;;;;;;;;;;;;x
REACH_DE_JURE_KINGDOM_CT;Другие державы Тамриэля были вынуждены признать Предел настоящим де-юре королевством.;;;;;;;;;;;;;x
ALLIANCE_WITH_THE_HAGRAVENS_CT;Между вами и Ворожеями был заключен союз.;;;;;;;;;;;;;x
SECOND_COMING_OF_FAOLAN_CT;"А когда наш народ будет в безопасности и наша земля будет свободна, положи мой меч рядом со мной, и я снова поведу своих людей к славе.";;;;;;;;;;;;;x
REDEAGLE_FURY_INTO_REDEAGLE_BANE_CT;Перековать Ярость Красного Орла в Проклятие Красного Орла, истинную форму меча.;;;;;;;;;;;;;x
seek_hagravens_coven;Найти Ковен Ворожей;;;;;;;;;;;;;x
seek_hagravens_coven_desc;Ищите Ковен Ворожей, в поисках могущества...;;;;;;;;;;;;;x
vassalize_hagravens;Вассализировать Великую Старицу;;;;;;;;;;;;;x
vassalize_hagravens_desc;В вашем стремлении объединить Предел, наличие большинства Ворожей на вашей стороне может оказаться полезным. Предлагая им защиту и земли, мы можем рассчитывать, что они поддержат наши завоевания и правление.;;;;;;;;;;;;;x
VASSALIZE_HAGRAVENS_HIGH_OPINION_HIGH_CRONE_CT;Великая Старица имеет высокое (§G50§!) мнением о вас.;;;;;;;;;;;;;x
VASSALIZE_HAGRAVENS_HRAGGEN_OWNED_CT;Округ §YХрагген§! находится непосредственно в вашей собственности или Великой Старицы;;;;;;;;;;;;;x
VASSALIZE_HAGRAVENS_SCARHAMMER_OWNED_CT;Округ §YСкархаммер§! находится непосредственно в вашей собственности или Великой Старицы;;;;;;;;;;;;;x
VASSALIZE_HAGRAVENS_IRONHEIM_OWNED_CT;Округ §YАйронхейм§! находится непосредственно в вашей собственности или Великой Старицы;;;;;;;;;;;;;x
VASSALIZE_HAGRAVENS_HIGH_CRONE_BECOMES_VASSAL_CT;Великая Старица становится вашим вассалом.;;;;;;;;;;;;;x
VASSALIZE_HAGRAVENS_HIGH_CRONE_GETS_SCARHAMMER_DUCHY_CT;Верховной Старице даровано герцогство Скархаммер, а также все графства, которых у нее еще нет.;;;;;;;;;;;;;x
vassalize_d_chosenoldgods;Вассализировать Избранных Старых богов;;;;;;;;;;;;;x
vassalize_d_chosenoldgods_desc;Избранные Старых Богов защищали Предел в течение многих лет. Но пришло время им признать своего законного правителя.;;;;;;;;;;;;;x
VASSALIZE_CHOSEN_OLD_GODS_OPINION_CT;§Y[d_chosenoldgods.Holder.GetTitledName]§! имеет мнение §G25§! или выше о §Y[Root.GetTitledName]§!;;;;;;;;;;;;;x
vassalize_d_forsworn;Вассализировать Изгоев;;;;;;;;;;;;;x
vassalize_d_forsworn_desc;Изгои защищали этот предел в течение многих лет. Но пришло время им признать своего законного правителя.;;;;;;;;;;;;;x
VASSALIZE_FORSWORN_OPINION_CT;§Y[d_forsworn.Holder.GetTitledName]§! имеет мнение §G25§! или выше о §Y[Root.GetTitledName]§!;;;;;;;;;;;;;x
break_de_jure_reach;Уничтожить Предел;;;;;;;;;;;;;x
break_de_jure_reach_desc;Предел был частью Хай Рока и Скайрима на протяжении веков, но недавно получил независимость от обоих королевств. Настало время положить конец этой мерзости и снова покорить эти земли.;;;;;;;;;;;;;x
DE_JURE_REACH_BROKEN;Де-юре королевство Предел будет разрушено, герцогства будут возвращены своим прежним де-юре королевствам.\n\nЧестолюбивые правители смогут вновь сформировать Бретонскую Империю и Нордскую Империю.;;;;;;;;;;;;;x
reach_integrate_haafingar;Интеграция Хаафингара в Предел;;;;;;;;;;;;;x
