pprovisions;Купить провизию.;;;;;;;;;;;;;x
dontneed;Мне не нужна провизия.;;;;;;;;;;;;;x
dontneedwealth;Я не могу позволить себе покупку провизии.;;;;;;;;;;;;;x
fadetoblack;(Растворится во мраке);;;;;;;;;;;;;x
yip;Ура!;;;;;;;;;;;;;x
halfbreed_hidden;Полукровка;;;;;;;;;;;;;x
halfbreed_hidden_desc;Смешанное происхождение.;;;;;;;;;;;;;x
EVTDESC36000horker;Я вышел со своей группой прочесать дебри и увидел могучего хоркера, лежащего на берегу, рядом с ледяными водами.;;;;;;;;;;;;;x
EVTDESC36000kagouti;В дебрях я увидел могучего кагути и моя группа начала охоту.;;;;;;;;;;;;;x
adventures1desc;Приключение может занять много времени, и часто происходит в самых неожиданных местах, из-за этого вы можете не видеть цивилизации много дней или даже недель. Покупка сухих пайков и хранение их в рюкзаке даст вам шанс не умереть с голоду в каком-нибудь случайном подземелье, где вашими компаньонами будут лишь побеспокоенные мертвецы...;;;;;;;;;;;;;x
adventures2desc;Вы никогда не знаете, в какую ситуацию попадете. Возможно вы маг, который любит бросать огненные шары с расстояния, но что делать, когда у вас закончится магическая энергия? А может вы рыцарь в толстой броне, который любит махать своим мечом, но что делать, если ваш верный меч сломался? Приобретение дополнительного вооружения для приключения может спасти вас в любой ситуации.;;;;;;;;;;;;;x
adventures3desc;Любой приключенец знает, что такой хороший набор зелий, как зелья восстановления здоровья и магии, и парочка зелий невидимости, может спасти вашу жизнь в последний момент, ведь магическая эссенция починит ваши кости и излечит ваши раны. Хотя вы можете встретить зелья во время приключения, все-таки опасно путешествовать без них,  ведь покупка нескольких баночек сейчас может спасти вашу жизнь потом.;;;;;;;;;;;;;x
adventures4desc;Приближается пора, когда вы должны собрать последние вещи и выйти на улицу в холодную ночь, начав ваше главное задание. Прежде чем вы уйдете, ваша любовь зовет вас к себе, и вы проводите последнюю ночь вместе, ведь есть шанс, что вы не вернетесь...;;;;;;;;;;;;;x
adventures5desc;Приближается пора, когда вы должны собрать последние вещи и выйти на улицу в холодную ночь, начав ваше главное задание. Прежде чем вы уйдете, ваша любовь зовет вас к себе, и вы проводите последнюю ночь вместе, ведь есть шанс, что вы не вернетесь...;;;;;;;;;;;;;x
adventures200desc;Время пришло, припасы упакованы и ваше сердце переполняет страсть к путешествиям и чувство волнения, когда вы начнете первые шаги своего приключения.;;;;;;;;;;;;;x
adventures195desc;Увы, но из-за проклятья, болезни или других трудностей я был вынужден отменить свои приключения, прежде чем они начались!;;;;;;;;;;;;;x
goblins;Атака гоблинов!;;;;;;;;;;;;;x
EVTOPTB36000;Пора бежать!;;;;;;;;;;;;;x
