#CODE;RUSSIAN;x
ACQUISITION_CLAIM;Завоевал как претендент;x
ACQUISITION_HOST;Завоевал как авантюрист;x
ACQUISITION_REVOLT;Завоевал как лидер восстания;x
ACQUISITION_USURP;Мирно узурпировал;x
ACQUISITION_FACTION_DEMAND;Установлен по требованию фракции;x
PERSONAL_OPINION_LOWER_THAN;Личное мнение хуже чем ;x
PERSONAL_OPINION_AT_LEAST;Личное мнение не хуже чем ;x
PERS_OPINION_DIFF_LOWER_THAN;Разница в личном мнении между §Y$FIRST$§! и §Y$SECOND$§! меньше чем §Y$VAL$§!;x
PERS_OPINION_DIFF_AT_LEAST;Разница в личном мнении между §Y$FIRST$§! и §Y$SECOND$§! не меньше чем §Y$VAL$§!;x
RULER_OF_TITLE;$RULER$: $TITLE$;x
EVTDESC38305;Теперь я чаще доверяю людям и принимаю всё, что уготовила мне судьба. Я больше не параноик.;x
EVTDESC38306;Оказывается люди - двуличные твари. Доверчивость - это уже не про меня.;x
EVTDESC38307;С меня уже хватит боли и предательств. Зачем помогать другим причинять мне вред? Я теряю свою доброту.;x
EVTDESC38308;Старые раны оставили на мне след. Шрамы будут об этом напоминать.;x
MEN;мужчины;x
WOMEN;женщины;x
MALE;мужск;x
FEMALE;женск;x
ADULTERER;прелюбодей;x
ADULTERESS;прелюбодейка;x
nick_the_unfaithful;Неверн[This.GetAyaYy];x
nick_the_beguiling;Обольститель[This.GetEndNitsa];x
nick_the_temptress;Искуситель[This.GetEndNitsa];x
nick_the_seducer;Соблазнитель[This.GetEndNitsa];x
nick_the_lewd;Похотлив[This.GetAyaYy];x
nick_the_lecher;Развратни[This.GetTsaK];x
nick_the_unchaste;Непристойн[This.GetAyaYy];x
INSULT_OLD;Стар[This.GetAyaYy];x
INSULT_TADPOLE;[This.GetInsultTadpole];x
INSULT_CHILD;[This.GetInsultChild];x
INSULT_VILE;Подл[This.GetAyaYy];x
INSULT_FOUL;Грязн[This.GetAyaYy];x
INSULT_FILTHY;Мерзк[GetAyaIy];x
INSULT_CLOWN;придурок;x #Клоун
INSULT_COW;корова;x
INSULT_INFIDEL;безбожни[This.GetTsaK];x
INSULT_HERETIC;Еретичн[This.GetAyaYy];x
INSULT_GROTESQUE;квазимодо;x
INSULT_DWARF;карли[This.GetTsaK];x
INSULT_CLUBFOOT;кривостоп[This.GetEndItsa];x
INSULT_HARELIP;морда;x
INSULT_CLEFT_LIPPED;Двурот[This.GetAyaYy];x
INSULT_BASTARD;ублюдок;x
INSULT_BASEBORN;Безродн[This.GetAyaYy];x
INSULT_KINSLAYER;родоубийца;x
INSULT_SODOMITE;педераст[This.GetEndKa];x
INSULT_DULLARD;болван[This.GetEndKa];x #Дурак
INSULT_DIM;Тупоголов[This.GetAyaYy];x #Тупой
INSULT_VACUOUS;Слабоумн[This.GetAyaYy];x
INSULT_NITWIT;дура;x
INSULT_IMBECILE;имбецил[This.GetEndKa];x
INSULT_FREAK;урод[This.GetEndIna];x
INSULT_ABOMINATION;выродок;x
INSULT_MONSTROUS;Омерзительн[This.GetAyaYy];x
INSULT_HIDEOUS;Отвратительн[This.GetAyaYy];x
INSULT_LESBIAN;ковырялка;x
INSULT_SAPPHIC;Лесбийск[This.GetAyaIy];x
INSULT_HUNCHBACK;горбун[This.GetEndSha];x
INSULT_CROOKED;Скрюченн[This.GetAyaYy];x
INSULT_LISPER;лепетун[This.GetEndSha];x
INSULT_FALTERING;Шепеляв[This.GetAyaYy];x
INSULT_STUTTERING;заика;x
INSULT_GORGON;горгона;x
INSULT_IDIOT;Дебильн[This.GetAyaYy];x
INSULT_TORTURER;мучитель[This.GetEndNitsa];x
INSULT_LECHER;развратни[This.GetTsaK];x
INSULT_LECHEROUS;Похотлив[This.GetAyaYy];x
INSULT_GLUTTON;обжора;x
INSULT_GORGING;Прожорлив[This.GetAyaYy];x
INSULT_VENAL;Продажн[This.GetAyaYy];x
INSULT_INDOLENT;Ленив[This.GetAyaYy];x
INSULT_EVIL;Злобн[This.GetAyaYy];x
INSULT_ENVIOUS;Завистлив[This.GetAyaYy];x
INSULT_HARRIDAN;стерва;x
INSULT_RAGING;Бешен[This.GetAyaYy];x
INSULT_DECEITFUL;Лжив[This.GetAyaYy];x
INSULT_CRAVEN;Труслив[This.GetAyaYy];x
INSULT_COWARD;ссыкун[This.GetEndSha];x
INSULT_SCATTERBRAIN;сумасброд[This.GetEndKa];x
INSULT_ERRATIC;Бестолков[This.GetAyaYy];x
INSULT_BIGOT;изувер[This.GetEndKa];x
INSULT_BIGOTED;Изуверск[This.GetAyaIy];x
INSULT_PARANOID;Параноидальн[This.GetAyaYy];x
INSULT_FOOL;лопух;x
INSULT_GULLIBLE;Легковерн[This.GetAyaYy];x
INSULT_CRUEL;Жесток[This.GetAyaIy];x
INSULT_BRUTE;изверг;x
INSULT_FIEND;злодей[This.GetEndKa];x
INSULT_CALLOUS;Бессердечн[This.GetAyaYy];x
INSULT_WANTON;Развратн[This.GetAyaYy];x
INSULT_SENILE;Дряхл[This.GetAyaYy];x
INSULT_CRIPPLE;калека;x
INSULT_VEGETABLE;овощ;x
INSULT_BESOTTED;Бух[This.GetAyaOy];x
INSULT_DRUNKARD;пьяница;x
INSULT_UNCLEAN;Нечист[This.GetAyaYy];x
INSULT_LEPER;Прокажённ[This.GetAyaYy];x
INSULT_BAT;психопат[This.GetEndKa];x
INSULT_DEMONIC;Бесноват[This.GetAyaYy];x
INSULT_DEMENTED;Умалишённ[This.GetAyaYy];x
INSULT_LUNATIC;безум[This.GetItsaEts];x
INSULT_LUGUBRIOUS;Уныл[This.GetAyaYy];x
INSULT_CRAZED;Чокнут[This.GetAyaYy];x
INSULT_DEVIL_WOMAN;ведьма;x
INSULT_WARLOCK;колдун[This.GetEndSoftYa];x
INSULT_EFFEMINATE;Женоподобн[This.GetAyaYy];x
INSULT_UNMANNED;Кастрированн[This.GetAyaYy];x
INSULT_EUNUCH;евнух;x
INSULT_BLIND;Слеп[This.GetAyaOy];x
INSULT_PEASANT;деревенщина;x
INSULT_PEASANT_WOMAN;деревенщина;x
INSULT_LOWBORN;Безродн[This.GetAyaYy];x
INSULT_HERESIARCH;ерети[This.GetChkaK];x
INSULT_SYBARITE;сибарит[This.GetEndKa];x
INSULT_DECADENT;Изнеженн[This.GetAyaYy];x
INSULT_WHOREMONGER;потаскун;x
INSULT_WHORING;Блудлив[This.GetAyaYy];x
INSULT_DEBASED;Испорченн[This.GetAyaYy];x
INSULT_TEMPTRESS;шлюха;x
INSULT_DODDERER;мямля;x
