EVTDESCekevmisc1a;Прошло много времени с тех пор, когда я последний раз слышал шепот Принца... В его отсутствие, я начал слышать слабый шепот другого... Кажется, я могу сделать выбор.;;;;;;;;;;;;;x
EVTDESCekevmisc1b;В последнее время я все чаще слышу чей-то зов у себя в голове. Нечто зловещее и предательское обещает великую силу... Сначала я считал этот голос галлюцинацией, не более чем последствием бессоницы, но он не пропадает... продолжая обещать силу и удачу, тем, кто будет служить ему...;;;;;;;;;;;;;x
ekevmisc1opta1;Если мой Принц покинул меня, я тоже брошу его!;;;;;;;;;;;;;x
ekevmisc1opta2;Великая сила... теперь, когда у меня для этого есть прекрасное кольцо...;;;;;;;;;;;;;x
ekevmisc1optb1;Хоть мой Принц и оставил меня, я сомневаюсь, что моя измена будет прощена.;;;;;;;;;;;;;x
ekevmisc1optb2;Возможно, с дальнейшими исследованиями в моих библиотеках...;;;;;;;;;;;;;x
ekevmisc1optc1;Я верный слуга моего Принца!;;;;;;;;;;;;;x
ekevmisc1optc2;Эти соблазны приведут к моей гибели. Я не поддамся!;;;;;;;;;;;;;x
EVTDESCekevmisc2;Путешествуя по своим землям, вы заметили нечто интересное недалеко от дороги. Это может быть обычным крестьянским инструментом, но что, если это не так...?;;;;;;;;;;;;;x
ekevmisc2opt1;Это требует дальнейшего расследования!;;;;;;;;;;;;;x
ekevmisc2opt2;Нет, предметы на обочине меня не интересуют.;;;;;;;;;;;;;x
EVTDESCekevmisc3;"Когда вы поднимаете предмет, чтобы получше рассмотреть его, он неожиданно рассыпается в пыль! Это ловушка! Позади вас раздается жалкий демонический голос: Пока ты занимался помолвками, я учился владеть клинком!"". Вы оборачиваетесь, и видите довольного дремору с катаной, который несется прямо на вас!!""";;;;;;;;;;;;;x
ekevmisc3opt1;УМРИ! УМРИ! УМРИ!;;;;;;;;;;;;;x
EVTDESCekevmisc4;При ближайшем рассмотрении вы поняли, что предмет, который попался вам на глаза, был ни чем иным, как гнездом заколдованных шершней! Ты попал, приятель.;;;;;;;;;;;;;x
ekevmisc4opt1;[Root.Religion.GetHighGodName] сохранит меня...;;;;;;;;;;;;;x
ekevmisc4opt2;Ничтожные шершни! Трепещите перед мощью Языка!;;;;;;;;;;;;;x
ekevmisc4opt3;Погоди... что это за шум?;;;;;;;;;;;;;x
EVTDESCekevmisc5a;Вы немедленно убегаете, так быстро, как можете. Если вы действительно опередили врагов или они потеряли к вам интерес - вы в безопасности и невредимы. В следующий раз вы дважды подумаете перед тем, как начнете осматривать странные предметы на обочине...;;;;;;;;;;;;;x
EVTDESCekevmisc5b;Вы спасаетесь бегством и опережаете большую часть роя, но несколько из них успевает вас ужалить. Оглянувшись назад, вы понимаете, что осмотр странных предметов на обочине был не самой лучшей идеей.;;;;;;;;;;;;;x
EVTDESCekevmisc5c;Осознав, что у вас нет шансов против этой магической угрозы, вы убегаете так быстро, как можете, но шершни настойчивы и жалят вас весь путь. Вернувшись домой, вы заходите к врачу. Он смотрит на вас и вздыхает, направившись за инструментами.;;;;;;;;;;;;;x
EVTDESCekevmisc5d;Вы поворачиваетесь, чтобы убежать, но наталкиваетесь на корень и падаете на землю, рой шершней окутывает вас, жаля каждую часть вашего тела, которую находят. Вам нечего делать, кроме как считать, сколько шершней вас ужалило. 998... 999... и вдруг мир потемнел.;;;;;;;;;;;;;x
EVTDESCekevmisc5e;"Вы ухмыляетесь, когда пчелы бросили вам вызов, и торжественно кладете руки на бедра. Идите и возьмите меня, пчелы!"", кричите вы. ""У меня иммунитет!"", и это, несомненно кажется правдой- укусы страшных пчел кажутся вам щекоткой. Сегодня победа за вам.""";;;;;;;;;;;;;x
EVTDESCekevmisc5f;Ну, по крайней мере, они кажутся очень послушными... Вы открываете свою рюкзак, и, рой, словно заколдованный, залетает в него, будто в новое гнездо. Это намного лучше, что вы ожидали.;;;;;;;;;;;;;x
EVTDESCekevmisc5g;ФУС... РО ДА! ваш короткий драконий крик разносится по воздуху, разбрасывая пчел в стороны. Вы уверены, что тот, кто заколдовал это гнездо пчел, не учел вашей силы.;;;;;;;;;;;;;x
EVTDESCekevmisc5h;ФУС... РО ДА! ваш короткий драконий крик разносится по воздуху, разбрасывая пчел в стороны. Вы уверены, что тот, кто заколдовал это гнездо пчел, не учел вашей силы. Кроме того, вы нашли что-то, что они охраняли!;;;;;;;;;;;;;x
EVTDESCekevmisc5i;"Раздается ХРИЯ-Я-Я-Я"" и в мгновение ока ваш любимый барсук бросается между вами пчелами. Вашему барсуку удается разогнать пчел, заставив их покинуть гнездо.""";;;;;;;;;;;;;x
EVTDESCekevmisc5j;"Раздается ХРИЯ-Я-Я-Я и в мгновение ока ваш любимый барсук бросается между вами пчелами. Вашему барсуку удается разогнать пчел, заставив их покинуть гнездо. Осмотрев его внимательнее, вы находите сокровища, которые они охраняли!""";;;;;;;;;;;;;x
EVTDESCekevmisc5k;Вы вздымаете бровь вверх, доставая свой клинок, легко парируете удар вашего оппонента и выпускаете ему кишки, ваш меч погружается в его живот, словно горячий нож сквозь масло. Ничего сложного - дремора возвращается в Обливион, оставив свой черно-красный меч. Вы пожимаете плечами и забираете его с собой.;;;;;;;;;;;;;x
EVTDESCekevmisc5l;Неожиданное нападение вашего врага выводит настигает вас врасплох, но тем не менее вы достаете меч, наносите ответные удары и приступаете к сражению. Вы ходите взад-вперед, обмениваясь ударами, но в конце концев ваш оппонент выдыхается. Вы победили! Вы наносите ему смертельный удар, возвращая его обратно в Обливион!;;;;;;;;;;;;;x
EVTDESCekevmisc5m;"Огромный и довольно волосатый дремора атакует вас, заставив вас упасть на землю. Вы успеваете откатиться от удара, но наталкиватесь на один из многочисленных шипов. Внезапно дремора останавливается и начинает злорадствовать. Такова судьба всех тех, кто бросает вызов Хладной Стали"",- начинает он, но не успевает закончить, так как ваш клинок прорезает его горло, прервав его кратковременный триумф. Вы вздыхаете и направляетесь домой.""";;;;;;;;;;;;;x
EVTDESCekevmisc5n;"Ваши рефлексы медленее, чем у вашего оппонента, и он, без особых усилий, делает по вашей груди надрез. Когда вы пытаетесь достать свой клинок, один из его многочисленных шипов пронзает ваше запястье, прежде чем он опрокидывает вас на землю. Стоя над вами, он ухмыляется. Ничего личного, деточка..."" - бормочет дремора, погружая клинок в вашу грудь""";;;;;;;;;;;;;x
ekevmisc5opt1;Могло быть гораздо хуже...;;;;;;;;;;;;;x
ekevmisc5opt2;Моя репутация пострадает...;;;;;;;;;;;;;x
ekevmisc5opt3;Аай... больно...;;;;;;;;;;;;;x
ekevmisc5opt4;Арбалетный болт был бы быстрее...;;;;;;;;;;;;;x
ekevmisc5opt5;Хаха, глупцы!;;;;;;;;;;;;;x
ekevmisc5opt6;Я покажу им, на кого они жужжат!;;;;;;;;;;;;;x
ekevmisc5opt7;Если бы все мои проблемы решались таким образом.;;;;;;;;;;;;;x
ekevmisc5opt8;Надеюсь, это просто кашель...;;;;;;;;;;;;;x
ekevmisc5opt9;Вы просто делаете, что хотите, хм?;;;;;;;;;;;;;x
ekevmisc5opt10;Возмем эту добычу и вернемся домой!;;;;;;;;;;;;;x
ekevmisc5opt11;Оу! это действительно острый край!;;;;;;;;;;;;;x
ekevmisc5opt12;Я даже не думал об этом...;;;;;;;;;;;;;x
ekevmisc5opt13;Подумать только, меня победили таким образом...;;;;;;;;;;;;;x
ekevmisc5opt14;Тьма окутывает меня.;;;;;;;;;;;;;x
nothingpersonnel;Побег не выход - достать клинок!;;;;;;;;;;;;;x
notthebees;Думай быстрее!;;;;;;;;;;;;;x
yesthebees;Показать рою силу Голоса!;;;;;;;;;;;;;x
badgeringthebees;Это--;;;;;;;;;;;;;x
ev_abdication;Отречься от престола;;;;;;;;;;;;;x
ev_abdication_desc;Если вы считаете себя недостойным правителем, и полагаете, что ваш преемник справится лучше вас, вы можете отречься от престола в пользу нынешнего наследника, тем самым начать игру за него, не ожидая, пока ваш нынешний правитель умрет.;;;;;;;;;;;;;x
build_infrastructure;Улучшить инфраструктуру в провинции;;;;;;;;;;;;;x
build_infrastructure_desc;Улучшив инфраструктуру в провинции вы сможете быстрее строить здания, войска будут перемещаться быстрее, подкрепления будут быстрее восстанавливаться, а также улучшится снабжение. Однако имейте ввиду, что это обойдется вам недешево...;;;;;;;;;;;;;x
repair_infrastructure;Починить инфраструктуру в провинции;;;;;;;;;;;;;x
repair_infrastructure_desc;Если инфраструктура в провинции повреждена, вы можете потратить деньги на ее починку.;;;;;;;;;;;;;x
infrastructure_1;Базовая инфраструктура;;;;;;;;;;;;;x
infrastructure_1_desc;Первые успехи были достигнуты в строительстве дорог и мостов в этой провинции, что приносит пользу населению, однако это еще далеко не предел.;;;;;;;;;;;;;x
infrastructure_2;Средняя инфраструктура;;;;;;;;;;;;;x
infrastructure_2_desc;Дороги и каменные мосты становятся все более распространенными, что позволяет горожанам и солдатам быстрее перемещаться по земле.;;;;;;;;;;;;;x
infrastructure_3;Расширенная инфраструктура;;;;;;;;;;;;;x
infrastructure_3_desc;В этой провинции очень развитая инфраструктура, с хорошо ухоженными дорогами, прочными мостами и рабочими, которые занимаются их ремонтом. Население и караваны перемещаются быстро, испытывая при этом лишь небольшие проблемы;;;;;;;;;;;;;x
infrastructure_4;Исключительная инфраструктура;;;;;;;;;;;;;x
infrastructure_4_desc;В этой провинции чрезвычайно развитая инфраструктура, которая была построена с использованием рабочей силы и магии. Все это обошлось весьма дорого, и другим было бы полезно перенять этот опыт.;;;;;;;;;;;;;x
infrastructure_1_damaged;Поврежденная инфраструктура;;;;;;;;;;;;;x
infrastructure_1_damaged_desc;В этой провинции инфраструктуре нанесен ущерб и она нуждается в ремонте, чтобы вернуться к прежнему уровню.;;;;;;;;;;;;;x
infrastructure_2_damaged;Поврежденная инфраструктура;;;;;;;;;;;;;x
infrastructure_2_damaged_desc;В этой провинции инфраструктуре нанесен ущерб и она нуждается в ремонте, чтобы вернуться к прежнему уровню.;;;;;;;;;;;;;x
