#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
elder_serpent_patron;Древний Змей-Покровитель;;;;;;;;;;;;;x
elder_serpent_patron_desc;Древний Змей-Покровитель - старейший из Небесных Змеев, почитаемых религией Пяти Дворов.;;;;;;;;;;;;;x
summer_serpent_patron;Змей-Покровитель Лета;;;;;;;;;;;;;x
summer_serpent_patron_desc;Змей-Покровитель Лета - Божество Лета в религии Пяти Дворов.;;;;;;;;;;;;;x
winter_serpent_patron;Змей-Покровитель Зимы;;;;;;;;;;;;;x
winter_serpent_patron_desc;Змей-Покровитель Зимы - Божество Зимы в религии Пяти Дворов.\nМожет скрываться в любое время\n \n;;;;;;;;;;;;;x
spring_serpent_patron;Змей-Покровитель Весны;;;;;;;;;;;;;x
spring_serpent_patron_desc;Змей-Покровитель Весны - Божество Весны в религии Пяти Дворов.;;;;;;;;;;;;;x
autumn_serpent_patron;Змей-Покровитель Осени;;;;;;;;;;;;;x
autumn_serpent_patron_desc;Змей-Покровитель Осени - Божество Осени в религии Пяти Дворов.;;;;;;;;;;;;;x
choose_tsaesci_patron_deity;Выбрать Божественного Покровителя;;;;;;;;;;;;;x
choose_tsaesci_patron_deity_desc;Как последователь религии Пяти Дворов, вы можете выбрать одного из Небесных Змеев в качестве божественного покровителя.;;;;;;;;;;;;;x
winter_serpent_go_into_hiding;Уйти в подполье;;;;;;;;;;;;;x
winter_serpent_go_into_hiding_desc;Как последователь Зимнего Змея, я могу заранее спрятаться, это сделает затруднительным плетение заговоров против меня, но может уменьшить расположение ко мне со стороны других персонажей.;;;;;;;;;;;;;x
winterorspring_op;Принесите мне свитки Зимы и Весны;;;;;;;;;;;;;x
summerorautumn_op;Принесите мне свитки Лета и Осени;;;;;;;;;;;;;x
elderserpent_op;Принесите мне Свиток Древнего Змея;;;;;;;;;;;;;x
shownascrollop;Свитки доставлены к вам;;;;;;;;;;;;;x
shownascrollop2;Свиток доставлен к вам;;;;;;;;;;;;;x
somethingelseop_desc;Свитки были возвращены;;;;;;;;;;;;;x
somethingelseop_desc2;Свиток был возвращён;;;;;;;;;;;;;x
choosewinterserpentop;Выбрать Зимнего Змея;;;;;;;;;;;;;x
choosespringserpentop;Выбрать Змея Весны;;;;;;;;;;;;;x
choosesummerserpentop;Выбрать Змея Лета;;;;;;;;;;;;;x
chooseautumnserpentop;Выбрать Змея Осени;;;;;;;;;;;;;x
chooseelderserpentop;Выбрать Древнего Змея;;;;;;;;;;;;;x
zusk_akavirevents.0_desc;Будучи приверженцем Пяти Дворов, вы, возможно решите посвятить свою жизнь одному из Великих Небесных Змеев, выбрав его покровителем. Живя под его небесной защитой, вы вероятно, сможете улучшить свою жизнь, руководствуясь их учением.\n Вам будет предоставлен выбор одного из пяти свитков.;;;;;;;;;;;;;x
zusk_akavirevents.1_desc;Зимний Свиток обозначает Змея Зимы. Этот покровитель, как правило, работает только на себя. Некоторые называют его эгоистом, они считают себя уцелевшими.\n Весенний Свиток обозначает Змея Весны. Этот покровитель, как правило, очень общителен и добр по отношению к людям, по крайней мере, если они сами хотят быть такими.;;;;;;;;;;;;;x
zusk_akavirevents.2_desc;Летний Свиток обозначает Змея Лета. Летом Камаль могут атаковать, по этому Летний Змей часто покровительствует воинам и солдатам.\n Осенний Свиток обозначает Змея Осени. Это божество часто покровительствует магистратам, монахам, или магам, желающим учится и обучать других.;;;;;;;;;;;;;x
zusk_akavirevents.3_desc;Свиток Древнего обозначает Древнего Змея. Это божество, обычно покровительствует персонажам-лидерам, или амбициозным личностям, ищущим советы и мудрость Древнего Змея.\n Эти покровители, как правило, склонны недолюбливать последователей других Божественных Змеев, из-за своих амбиций, и зачастую им больше всего не нравятся поклонники Древнего Змея.;;;;;;;;;;;;;x
extract_blood_decision;Извлечь Кровь для Подношения;;;;;;;;;;;;;x
extract_blood_decision_desc;Как последователь Пяти Дворов, мы можем извлечь кровь из наших пленных, чтобы использовать её в качестве подношения для мудрых Небесных Змеев.;;;;;;;;;;;;;x
extract_blood;Извлечь кровь из [Root.GetTitledFirstName] для ритуала, увеличив наше благочестие. §GЭто может привести к ранению или даже смерти пленника§!;;;;;;;;;;;;;x
usefulforoffering;Это может быть полезным для жертвоприношения!;;;;;;;;;;;;;x
zusk_akavirevents.4_desc;Перед вами находится идол Великого Небесного Змея, а ваша рука сжимает старый жертвенный кинжал. Вы делаете глубокий вдох, подготавливаясь к ритуалу крови.;;;;;;;;;;;;;x
deepbreaths;Сконцентрироваться...;;;;;;;;;;;;;x
smallchanceaaccidentcouldoccur;Существует небольшая вероятность, что произойдёт несчастный случай.;;;;;;;;;;;;;x
goodchanceaaccidentcouldoccur;Существует большая вероятность, что произойдёт несчастный случай.;;;;;;;;;;;;;x
zusk_akavirevents.5_desc;Посреди ночи вас вытащили из камеры тюремные стражники. Вас привели в холодную, безликую комнату, а ваши руки и ноги и руки поспешно привязали к выгравированному каменному креслу. К вам подходит мужчина со странными хирургическими инструментами в руках...;;;;;;;;;;;;;x
zusk_akavirevents.6_desc;Ваши стражники посещают вас вечером, принося с собой чашу алой крови, извлеченной из [From.GetFirstName].\n Похоже, добыча окупилась.;;;;;;;;;;;;;x
five_courts_offering;Начать Кровавое Жертвоприношение;;;;;;;;;;;;;x
five_courts_offering_desc;Будучи последователем религии Пяти Дворов, вы можете предложить Небесным Змеям свою собственную кровь в качестве подношения, в надежде на то, что они пошлют вам своё благословение.  Но это несёт определённый риск для вашего здоровья.\n(вместо этого вы можете выбрать в качестве жертвы любого из ваших заключённых, нажав правой кнопкой мыши на его портрет, и забрать его кровь. Это не окажет негативного влияния на ваше здоровье. )\n \n;;;;;;;;;;;;;x
tsaesci_blood_ritual_piety;Кровавое Жертвоприношение;;;;;;;;;;;;;x
tsaesci_blood_ritual_piety_desc;Этот персонаж принёс свою кровь в жертву богам,  за это они уважают его больше, чем других;;;;;;;;;;;;;x
tsaesci_blood_ritual_health;Извлечь кровь для Жертвоприношения;;;;;;;;;;;;;x
tsaesci_blood_ritual_health_desc;У этого персонажа будет извлечена кровь для жертвоприношения.;;;;;;;;;;;;;x
