ban_holiday_sentinel;Я запретил(а) Куму Алезери на десять лет... Похоже, крестьяне этим недовольны.;;;;;;;;;;;;;x
dontaskmeagainsentinel;Я уже всё сказал(а), не спрашивайте меня снова!;;;;;;;;;;;;;x
EVTDESC_CATFISH_1;Сегодня Куму Алезери, праздничный день, в который народ торжественно благодарит богов за урожай. Мы можем: финансировать местный праздник, для получения народной поддержки, ограничить празднества в этом году, или вообще запретить праздник. Как нам следует поступить?;;;;;;;;;;;;;x
EVTDESC_CATFISH_2;Сегодня Куму Алезери, праздничный день, в который народ Сентинеля торжественно благодарит богов за урожай, независимо от того, был ли этот урожай хорошим или плохим. Должны ли праздновать вместе с ними?;;;;;;;;;;;;;x
EVTOPTA_CATFISH_1;Поддержать его для большей стабильности.;;;;;;;;;;;;;x
EVTOPTA_CATFISH_2;Да! Боги великие и они достойны благодарности.;;;;;;;;;;;;;x
EVTOPTB_CATFISH_1;Запретить праздник на этот раз. Мы не можем себе этого позволить.;;;;;;;;;;;;;x
EVTOPTB_CATFISH_2;Я буду присутствовать в этом году.;;;;;;;;;;;;;x
EVTOPTC_CATFISH_1;Их торжества кощунственны. Запретить праздники на ближайшие 10 лет.;;;;;;;;;;;;;x
EVTOPTC_CATFISH_2;Мне не интересен этот проклятый праздник. Оставьте меня в покое.;;;;;;;;;;;;;x
koomu_alezeri_holiday;Крестьяне отмечают в этом году Куму Алезери.;;;;;;;;;;;;;x
peasant_unrest_sentinel;Я запретил(а) крестьянам праздновать Куму Алезери в этом году.;;;;;;;;;;;;;x
